feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
tratadores_e_intercambiadores_de_butano | AI-1224B,8,40min (0.67h),-0.8159139488898829,0.8159139488898829,-0.8765424098992655,0.8765424098992655,119320
tratadores_e_intercambiadores_de_propano | TIC-2400,96,480min (8.00h),-0.6220335685392518,0.6220335685392518,-0.3622422331286659,0.3622422331286659,113909
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,24,120min (2.00h),-0.5949163943163363,0.5949163943163363,-0.7786070799589863,0.7786070799589863,100466
psh | LI-4040,96,480min (8.00h),-0.5646280649273411,0.5646280649273411,-0.340326228899725,0.340326228899725,81264
horno | PI-1678,456,2280min (38.00h),-0.548182136791368,0.548182136791368,0.14295762310059754,0.14295762310059754,95664
horno | FIC-1903C-F-2-OLEFINAS,63,315min (5.25h),-0.5383828508366838,0.5383828508366838,-0.37310122339044943,0.37310122339044943,117382
debutanizadora_y_tratamiento_de_alquilato | PDI-2110,84,420min (7.00h),0.5350343036530296,0.5350343036530296,0.29217985101964294,0.29217985101964294,113671
horno | FI-1903B-F-2-OLEFINAS,63,315min (5.25h),-0.5266837705436331,0.5266837705436331,-0.38150159785670806,0.38150159785670806,117143
reactor_de_alquilacion | FIC-1903C,63,315min (5.25h),-0.5235374094014414,0.5235374094014414,-0.36089204634023603,0.36089204634023603,118505
horno | FI-1059A-F-1-OLEFINAS,63,315min (5.25h),-0.5171973913251497,0.5171973913251497,-0.35486733889137084,0.35486733889137084,117190
horno | TI-1105A,120,600min (10.00h),-0.5129156539196579,0.5129156539196579,-0.20787127537234074,0.20787127537234074,95285
reactor_de_alquilacion | FI-1903B,66,330min (5.50h),-0.5123966604693332,0.5123966604693332,-0.36864917857712876,0.36864917857712876,118257
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,84,420min (7.00h),-0.5084067154474969,0.5084067154474969,-0.25138239124418227,0.25138239124418227,114413
debutanizadora_y_tratamiento_de_alquilato | TI-1567,30,150min (2.50h),-0.5070267091053386,0.5070267091053386,-0.4450234463028353,0.4450234463028353,114427
horno | PI-1659B,108,540min (9.00h),-0.5063976249363812,0.5063976249363812,-0.07676010568999644,0.07676010568999644,94749
isostripper | TI-1567,51,255min (4.25h),-0.5043052859193139,0.5043052859193139,-0.42753658848528747,0.42753658848528747,116239
horno | FI-1000-ISOBUTANO-REPOSICION,84,420min (7.00h),-0.504275283976617,0.504275283976617,-0.3108438759433111,0.3108438759433111,117895
reactor_de_alquilacion | FI-1059A,63,315min (5.25h),-0.5034435426701679,0.5034435426701679,-0.3417802553167914,0.3417802553167914,118313
horno | PI-1659A,120,600min (10.00h),-0.5028711169628253,0.5028711169628253,-0.010351304255932801,0.010351304255932801,95654
psh | FIC-4061,69,345min (5.75h),-0.502575486555448,0.502575486555448,-0.36492812090701315,0.36492812090701315,117412
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,66,330min (5.50h),-0.4940234730035671,0.4940234730035671,-0.31989380020292935,0.31989380020292935,117284
