feature,importance_mean,importance_std
tratadores_e_intercambiadores_de_butano | AI-1224B [lag=8x5min],1.7814822428088424,0.009694353966614843
debutanizadora_y_tratamiento_de_alquilato | TIC-2103 [lag=24x5min],0.08549528630647822,0.0038663532687555667
horno | TI-1514 [lag=108x5min],0.06144241822532158,0.002459673821350547
debutanizadora_y_tratamiento_de_alquilato | TI-2105 [lag=24x5min],0.023946696988454752,0.00043730744394415385
isostripper | TI-1567 [lag=51x5min],0.01027872055875706,0.0006388526157046215
debutanizadora_y_tratamiento_de_alquilato | TI-1567 [lag=30x5min],0.007079335955695723,0.00034363258887434335
horno | FIC-1903C-F-2-OLEFINAS [lag=63x5min],0.004596546358849041,3.973114331974352e-05
reactor_de_alquilacion | FIC-1903C [lag=63x5min],0.00352597192433228,6.303359495143384e-05
horno | PI-1659A [lag=120x5min],0.0026869478887374676,0.00038795460105382903
horno | FI-1000-ISOBUTANO-REPOSICION [lag=84x5min],0.00267224991567383,0.00010431113398905947
debutanizadora_y_tratamiento_de_alquilato | PI-2110B [lag=84x5min],0.0020811057145072587,0.000648565588150441
horno | TI-1105A [lag=120x5min],0.001805496234100687,0.00020328805364443523
debutanizadora_y_tratamiento_de_alquilato | PDI-2110 [lag=84x5min],0.0009450647679952462,0.00015390527527614506
reactor_de_alquilacion | FI-1059A [lag=63x5min],0.0008350782303731957,3.775391089408229e-05
horno | FI-1059A-F-1-OLEFINAS [lag=63x5min],0.0004597108513069853,2.9821434175668967e-05
reactor_de_alquilacion | FI-1903B [lag=66x5min],-1.2145657112522246e-05,2.488130165625282e-05
psh | LI-4040 [lag=96x5min],-0.00011855936179802629,2.9351468755163307e-05
horno | FI-1903B-F-2-OLEFINAS [lag=63x5min],-0.00012346215864426913,3.934956324638902e-05
psh | FIC-4061 [lag=69x5min],-0.0009853899192506371,0.00013582161170060502
debutanizadora_y_tratamiento_de_alquilato | FIC-2100 [lag=66x5min],-0.000999350876196764,6.347395587810564e-05
isostripper | FIC-2100 [lag=66x5min],-0.001098425346596557,6.723695853708326e-05
horno | PI-1678 [lag=456x5min],-0.0011857267821300255,0.0013049443517733758
horno | PI-1659B [lag=108x5min],-0.0018791486666112495,0.00011435094178953174
tratadores_e_intercambiadores_de_propano | TIC-2400 [lag=96x5min],-0.012574940949998392,0.0005398366116263407
