feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples,mutual_information,transfer_entropy,importance_mean,pearson_score,spearman_score,mi_score,te_score,rf_score,consensus_score
tratadores_e_intercambiadores_de_butano | AI-1224B,8,40min (0.67h),-0.8159139488898829,0.8159139488898829,-0.8765424098992655,0.8765424098992655,119320,1.7583401856155634,0.24338264593815484,1.7814822428088424,1.0,1.0,1.0,1.0,1.0,1.0
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,24,120min (2.00h),-0.5949163943163363,0.5949163943163363,-0.7786070799589863,0.7786070799589863,100466,0.6560903926191983,0.16751834355624762,0.08549528630647822,0.7264462553006503,0.888058399442957,0.37313052274325,0.6882920633495584,0.0546639361020832,0.5063562218182106
debutanizadora_y_tratamiento_de_alquilato | TI-2105,24,120min (2.00h),-0.4859277351690894,0.4859277351690894,-0.7779424691269763,0.7779424691269763,116194,0.8269630813321722,,0.023946696988454752,0.5915386274899163,0.8872987389575314,0.470308924346552,0.0,0.020357008833985096,0.38013050479391547
debutanizadora_y_tratamiento_de_alquilato | TI-1567,30,150min (2.50h),-0.5070267091053386,0.5070267091053386,-0.4450234463028353,0.4450234463028353,114427,0.4623037140821138,0.04790587673352329,0.007079335955695723,0.6176552211359975,0.5067671341368121,0.26292051894398893,0.19683357681014158,0.01095521206549014,0.3152768187312127
isostripper | TI-1567,51,255min (4.25h),-0.5043052859193139,0.5043052859193139,-0.42753658848528747,0.42753658848528747,116239,0.4663074503160285,0.051731821734249554,0.01027872055875706,0.6142866069226625,0.486779384526907,0.26519751645941175,0.21255345275272813,0.012738535714270447,0.31469571454306083
tratadores_e_intercambiadores_de_propano | TIC-2400,96,480min (8.00h),-0.6220335685392518,0.6220335685392518,-0.3622422331286659,0.3622422331286659,113909,0.28402740574199914,0.01923492468451905,-0.012574940949998392,0.7600122581854224,0.4121469239999688,0.16153154438801967,0.0790316195732656,0.0,0.2959861549599447
horno | FIC-1903C-F-2-OLEFINAS,63,315min (5.25h),-0.5383828508366838,0.5383828508366838,-0.37310122339044943,0.37310122339044943,117382,0.3634429848959648,0.022412028327476657,0.004596546358849041,0.6564682750020684,0.4245589182320671,0.20669662666483957,0.092085564445592,0.009571315487765212,0.28534589535707516
horno | FI-1903B-F-2-OLEFINAS,63,315min (5.25h),-0.5266837705436331,0.5266837705436331,-0.38150159785670806,0.38150159785670806,117143,0.379173928729851,0.02371390409772637,-0.00012346215864426913,0.6419869961034038,0.4341606764903477,0.2156431001416879,0.097434654826426,0.006940402404156514,0.2850997693527437
reactor_de_alquilacion | FI-1903B,66,330min (5.50h),-0.5123966604693332,0.5123966604693332,-0.36864917857712876,0.36864917857712876,118257,0.3846253700120563,0.02364847574543662,-1.2145657112522246e-05,0.6243022191415125,0.41947016198385,0.21874343381249964,0.09716582566632896,0.007002449758354288,0.2790702521349935
reactor_de_alquilacion | FIC-1903C,63,315min (5.25h),-0.5235374094014414,0.5235374094014414,-0.36089204634023603,0.36089204634023603,118505,0.3614369349385216,0.021767729684684555,0.00352597192433228,0.6380923879739884,0.410603639566864,0.20555574961848977,0.08943829828448771,0.00897458175808903,0.2778841830344201
psh | FIC-4061,69,345min (5.75h),-0.502575486555448,0.502575486555448,-0.36492812090701315,0.36492812090701315,117412,0.39198208723282413,0.020780024578212056,-0.0009853899192506371,0.6121454380102862,0.41521693537388393,0.22292733251478197,0.085380058623787,0.0064599674612744315,0.2743263669704972
horno | FI-1059A-F-1-OLEFINAS,63,315min (5.25h),-0.5171973913251497,0.5171973913251497,-0.35486733889137084,0.35486733889137084,117190,0.34086910503920986,0.023687243125104535,0.0004597108513069853,0.6302446283479696,0.4037173055429202,0.1938584511846766,0.09732511138499013,0.007265460610344464,0.27330557501570035
psh | LI-4040,96,480min (8.00h),-0.5646280649273411,0.5646280649273411,-0.340326228899725,0.340326228899725,81264,0.26585771045715223,0.016262617319668143,-0.00011855936179802629,0.688954953910301,0.3870965913702774,0.1511981086663729,0.06681913271581649,0.006943135202693052,0.2723015026244372
reactor_de_alquilacion | FI-1059A,63,315min (5.25h),-0.5034435426701679,0.5034435426701679,-0.3417802553167914,0.3417802553167914,118313,0.3447494177812773,0.026932494170725966,0.0008350782303731957,0.613219929541421,0.38875856610889203,0.1960652555185655,0.11065905733299362,0.007474688823616771,0.26929934921125537
horno | FI-1000-ISOBUTANO-REPOSICION,84,420min (7.00h),-0.504275283976617,0.504275283976617,-0.3108438759433111,0.3108438759433111,117895,0.37030727985721423,0.023082431618233323,0.00267224991567383,0.6142494701145705,0.35339780483286376,0.21060047588435016,0.09484008824564559,0.00849872066715671,0.26504282683407826
debutanizadora_y_tratamiento_de_alquilato | TI-2102,27,135min (2.25h),-0.45976067345113936,0.45976067345113936,-0.6989512465758324,0.6989512465758324,116077,,,,0.5591486866394981,0.797010546864599,0.0,0.0,0.007009219697028749,0.2610910586138216
debutanizadora_y_tratamiento_de_alquilato | PDI-2110,84,420min (7.00h),0.5350343036530296,0.5350343036530296,0.29217985101964294,0.29217985101964294,113671,0.23774936597396046,0.019404714186540602,0.0009450647679952462,0.6523233982718318,0.33206453496931204,0.1352123826315945,0.0797292432734562,0.007535994861472048,0.2537763915460601
horno | TI-1514,108,540min (9.00h),-0.4917765704459917,0.4917765704459917,-0.3030174495507641,0.3030174495507641,94169,0.3599263754442035,,0.06144241822532158,0.5987783944421511,0.34445207812159584,0.20469666699803013,0.0,0.04125696764037454,0.2526159856384768
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,66,330min (5.50h),-0.4940234730035671,0.4940234730035671,-0.31989380020292935,0.31989380020292935,117284,0.3842694898555665,,-0.000999350876196764,0.6015596406409399,0.3637420085758791,0.2185410383037118,0.0,0.006452185682035446,0.2502724655278681
isostripper | FIC-2100,66,330min (5.50h),-0.49014102582198865,0.49014102582198865,-0.32408742021826414,0.32408742021826414,119069,0.3734177968680923,,-0.001098425346596557,0.5967538953141753,0.368535381273259,0.21236948340423978,0.0,0.006396961984989059,0.2485419181966279
horno | TI-1105A,120,600min (10.00h),-0.5129156539196579,0.5129156539196579,-0.20787127537234074,0.20787127537234074,95285,0.3227670066703885,0.02451444900391867,0.001805496234100687,0.6249446362129807,0.23569852584473355,0.18356345905692506,0.10072389881958944,0.00801559577603303,0.2454161135082869
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,84,420min (7.00h),-0.5084067154474969,0.5084067154474969,-0.25138239124418227,0.25138239124418227,114413,0.19826319114763447,0.017290631294082134,0.0020811057145072587,0.6193634115426049,0.2854324059030031,0.11275587782703497,0.07104299169496169,0.008169219352194146,0.2329056429288015
horno | PI-1678,456,2280min (38.00h),-0.548182136791368,0.548182136791368,0.14295762310059754,0.14295762310059754,95664,0.19115503823371682,0.014821268894199238,-0.0011857267821300255,0.6685979629230788,0.16150121484641058,0.10871334216069052,0.060896983172602295,0.006348300528529484,0.22383896399789213
lab_carga_D03_a_E28 | FIC-1903C_OLEFINAS_2,60,300min (5.00h),-0.4664437169367266,0.4664437169367266,-0.4468195035742796,0.4468195035742796,54957,,,,0.5674210477296412,0.5088200554449875,0.0,0.0,0.007009219697028749,0.2199305751734156
lab_isobutano_reciclo | FIC-1903C-Olefinas 2,57,285min (4.75h),-0.4610212605765358,0.4610212605765358,-0.4498293301219469,0.4498293301219469,55476,,,,0.5607090583338248,0.5122603338547342,0.0,0.0,0.007009219697028749,0.2187686195859235
psh | TI-4135,57,285min (4.75h),-0.48166184100947856,0.48166184100947856,-0.19602520478692056,0.19602520478692056,116235,0.30568677045306814,,,0.5862582463377154,0.22215828349856212,0.17384961849464453,0.0,0.007009219697028749,0.21641053273239927
isostripper | TI-1571,24,120min (2.00h),-0.45337576831969717,0.45337576831969717,-0.4473806925128697,0.4473806925128697,117999,,,,0.5512453652130394,0.5094615031027326,0.0,0.0,0.007009219697028749,0.21598287169292693
psh | TI-4043A,69,345min (5.75h),-0.4729774355982886,0.4729774355982886,-0.10428719365609698,0.10428719365609698,115317,0.4615324628175186,,,0.5755085725447066,0.11730031442686525,0.26248189434170516,0.0,0.007009219697028749,0.21572087409280463
psh | TI-4043C,69,345min (5.75h),-0.4755625953488445,0.4755625953488445,-0.10052099399707635,0.10052099399707635,115323,0.4270154337921541,,,0.578708518045349,0.11299548982367817,0.24285143300792142,0.0,0.007009219697028749,0.2119490445107304
isostripper | PIC-1921,120,600min (10.00h),-0.47459177575504946,0.47459177575504946,-0.16547518048381857,0.16547518048381857,119087,0.32975522899423293,,,0.5775068244980036,0.18723913205820653,0.18753778801841553,0.0,0.007009219697028749,0.21172243846117217
reactor_de_alquilacion | PI-1921,120,600min (10.00h),-0.47459177575504946,0.47459177575504946,-0.16547518048381857,0.16547518048381857,119087,0.32975522899423293,,,0.5775068244980036,0.18723913205820653,0.18753778801841553,0.0,0.007009219697028749,0.21172243846117217
isostripper | TI-1565,27,135min (2.25h),-0.45406822630553073,0.45406822630553073,-0.3942199180227029,0.3942199180227029,118011,,,,0.5521024990190548,0.4486979136308827,0.0,0.0,0.007009219697028749,0.20708261672365327
horno | FI-1238-ALQUILATO,66,330min (5.50h),-0.4690701486261471,0.4690701486261471,-0.36538654742657617,0.36538654742657617,118006,,,,0.5706720801911742,0.41574092399340434,0.0,0.0,0.007009219697028749,0.2067814635710614
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,66,330min (5.50h),-0.45588341511351904,0.45588341511351904,-0.3486756331433046,0.3486756331433046,117301,,,,0.5543493641335568,0.39664008987376953,0.0,0.0,0.007009219697028749,0.19983565943871182
reactor_de_alquilacion | FIC-1059C,63,315min (5.25h),-0.46680392865482295,0.46680392865482295,-0.3222228376152746,0.3222228376152746,117987,,,,0.5678669226378953,0.3664041344486785,0.0,0.0,0.007009219697028749,0.19867965575103277
horno | PI-1659B,108,540min (9.00h),-0.5063976249363812,0.5063976249363812,-0.07676010568999644,0.07676010568999644,94749,0.20100245631105995,0.010692218980364251,-0.0018791486666112495,0.6168765322926685,0.08583642608872558,0.11431374767829275,0.04393172298357384,0.005961790058986706,0.19803755248441726
tratadores_e_intercambiadores_de_propano | PIC-2417,108,540min (9.00h),-0.48544354004028256,0.48544354004028256,-0.10083911901518534,0.10083911901518534,119096,0.2766872222792811,,,0.5909392842487393,0.11335911165173627,0.15735704873424017,0.0,0.007009219697028749,0.1979624024810505
tratadores_e_intercambiadores_de_butano | TI-1962,33,165min (2.75h),-0.35920516578440403,0.35920516578440403,-0.5096886266917141,0.5096886266917141,118007,,,,0.43467972712788805,0.5806804379205964,0.0,0.0,0.007009219697028749,0.19752430239431865
lab_isobutano_fresco_a_D02 | ISOBUTANO,576,2880min (48.00h),-0.3792176978273264,0.3792176978273264,-0.45402141609886254,0.45402141609886254,56728,,,,0.4594515083895456,0.5170519531224166,0.0,0.0,0.007009219697028749,0.19417297499000608
isostripper | FI-2315,132,660min (11.00h),-0.46680385702661675,0.46680385702661675,-0.2908913282064942,0.2908913282064942,115024,,,,0.5678668339755385,0.33059173341602077,0.0,0.0,0.007009219697028749,0.19330777343054492
tratadores_e_intercambiadores_de_propano | TI-2401,108,540min (9.00h),-0.4469385024018884,0.4469385024018884,-0.31759701088701736,0.31759701088701736,118992,,,,0.5432772309011457,0.3611167427772926,0.0,0.0,0.007009219697028749,0.1917391240661375
tratadores_e_intercambiadores_de_butano | PIC-1218,12,60min (1.00h),-0.41822943721758554,0.41822943721758554,-0.36086617261206483,0.36086617261206483,12119,,,,0.5077407639789735,0.4105740654944059,0.0,0.0,0.007009219697028749,0.19027360574316143
horno | PI-1659A,120,600min (10.00h),-0.5028711169628253,0.5028711169628253,-0.010351304255932801,0.010351304255932801,95654,0.23087010253186335,0.011121507292288604,0.0026869478887374676,0.6125113733037382,0.00993013641637625,0.1313000205651558,0.04569556407532299,0.00850691325610911,0.18985843082674786
lab_carga_D03_a_E28 | FIC-1059C-OLEFINAS-1,54,270min (4.50h),-0.40887181464793604,0.40887181464793604,-0.3713980130707646,0.3713980130707646,55123,,,,0.4961577729347948,0.42261212242929547,0.0,0.0,0.007009219697028749,0.18918356652235022
lab_isobutano_reciclo | FIC-1059C Olefinas 1,54,270min (4.50h),-0.4043548717091234,0.4043548717091234,-0.3630919848731997,0.3630919848731997,55642,,,,0.4905666402279653,0.41311820341892064,0.0,0.0,0.007009219697028749,0.1863616954940866
tratadores_e_intercambiadores_de_propano | TI-2403,63,315min (5.25h),-0.45482415643403323,0.45482415643403323,-0.2626510239690595,0.2626510239690595,119083,,,,0.5530381994967454,0.2983126278217064,0.0,0.0,0.007009219697028749,0.1847587489716995
lab_isobutano_fresco_a_D02 | FLUJO ISOBUTANO FRESCO,63,315min (5.25h),-0.39947501732908763,0.39947501732908763,-0.35792352070077266,0.35792352070077266,56785,,,,0.48452629085929366,0.4072105687355431,0.0,0.0,0.007009219697028749,0.18396546294941205
debutanizadora_y_tratamiento_de_alquilato | TI-2101,132,660min (11.00h),-0.4334444312922815,0.4334444312922815,-0.28768441934664646,0.28768441934664646,116115,,,,0.5265740882333664,0.32692618686779523,0.0,0.0,0.007009219697028749,0.18243475501276807
lab_isobutano_fresco_a_D02 | BUTILENOS,576,2880min (48.00h),0.387741253227063,0.387741253227063,0.36067504317136223,0.36067504317136223,56728,,,,0.4700020798755045,0.4103556015803223,0.0,0.0,0.007009219697028749,0.18080616513018166
tratamiento_de_efluentes | LI-1202,576,2880min (48.00h),0.3150591327430106,0.3150591327430106,0.48296860678907666,0.48296860678907666,40686,,,,0.38003517381869983,0.5501390408921569,0.0,0.0,0.007009219697028749,0.17928195451275566
horno | FI-1903A-F-2-OLEFINAS,69,345min (5.75h),-0.39889249542774485,0.39889249542774485,-0.3303478085612534,0.3303478085612534,117131,,,,0.4838052374169187,0.3756911022132938,0.0,0.0,0.007009219697028749,0.17905727961048093
horno | TI-1508,120,600min (10.00h),-0.4334478830863636,0.4334478830863636,-0.2540180136513805,0.2540180136513805,116992,,,,0.5265783609104958,0.288444963178357,0.0,0.0,0.007009219697028749,0.17666363962863468
tratadores_e_intercambiadores_de_propano | TI-2404,84,420min (7.00h),-0.441505825588774,0.441505825588774,-0.2369474157241618,0.2369474157241618,118141,,,,0.5365525904912708,0.26893300507698675,0.0,0.0,0.007009219697028749,0.17623040330862288
despropanizadora_y_despojo | LIC-1152,144,720min (12.00h),-0.4567858130354087,0.4567858130354087,-0.2030118046588602,0.2030118046588602,116709,,,,0.5554663644153843,0.23014407547571145,0.0,0.0,0.007009219697028749,0.17514050734946
psh | PIC-4080,576,2880min (48.00h),-0.4727994863496211,0.4727994863496211,-0.16901867057292627,0.16901867057292627,117421,,,,0.5752883045719076,0.19128939616998947,0.0,0.0,0.007009219697028749,0.1742677904927325
tratadores_e_intercambiadores_de_butano | TI-1975,0,0min (0.00h),-0.37606353264994813,0.37606353264994813,-0.33967734832224067,0.33967734832224067,118193,,,,0.45554724032043914,0.3863549108096639,0.0,0.0,0.007009219697028749,0.17359235162581654
tratadores_e_intercambiadores_de_butano | FIC-2121,7,35min (0.58h),-0.36643822231965456,0.36643822231965456,-0.35119715058003403,0.35119715058003403,118558,,,,0.44363290176666625,0.39952222339874066,0.0,0.0,0.007009219697028749,0.17258886387573483
reactor_de_alquilacion | FI-1903A,69,345min (5.75h),-0.38524106989781726,0.38524106989781726,-0.3169804462328411,0.3169804462328411,118248,,,,0.466907319331797,0.36041199981806143,0.0,0.0,0.007009219697028749,0.17254093472991563
tratadores_e_intercambiadores_de_butano | TI-1976,36,180min (3.00h),-0.37442891850445126,0.37442891850445126,-0.33231443419210294,0.33231443419210294,119065,,,,0.45352389295127005,0.37793898580084134,0.0,0.0,0.007009219697028749,0.1718241260322009
horno | FI-1059B-F-1-OLEFINAS,60,300min (5.00h),-0.396893823593066,0.396893823593066,-0.2916124919044037,0.2916124919044037,118055,,,,0.4813312545447709,0.33141603470399167,0.0,0.0,0.007009219697028749,0.17179752376604865
lab_carga_D03_a_E28 | FI-1909_ACIDO_2,63,315min (5.25h),-0.33463535644181963,0.33463535644181963,-0.39857337090702943,0.39857337090702943,53554,,,,0.40426688674518474,0.453673977775644,0.0,0.0,0.007009219697028749,0.17087012327689996
tratadores_e_intercambiadores_de_propano | TI-2406,66,330min (5.50h),-0.44128852595450857,0.44128852595450857,-0.20376889524020977,0.20376889524020977,119051,,,,0.536283614082053,0.2310094417484816,0.0,0.0,0.007009219697028749,0.1704746247070427
