feature,best_lag_steps,best_lag_label,transfer_entropy,samples
tratadores_e_intercambiadores_de_butano | AI-1224B,8,40min (0.67h),0.24338264593815484,12000
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,24,120min (2.00h),0.16751834355624762,12000
isostripper | TI-1567,51,255min (4.25h),0.051731821734249554,12000
debutanizadora_y_tratamiento_de_alquilato | TI-1567,30,150min (2.50h),0.04790587673352329,12000
reactor_de_alquilacion | FI-1059A,63,315min (5.25h),0.026932494170725966,12000
horno | TI-1105A,120,600min (10.00h),0.02451444900391867,12000
horno | FI-1903B-F-2-OLEFINAS,63,315min (5.25h),0.02371390409772637,12000
horno | FI-1059A-F-1-OLEFINAS,63,315min (5.25h),0.023687243125104535,12000
reactor_de_alquilacion | FI-1903B,66,330min (5.50h),0.02364847574543662,12000
horno | FI-1000-ISOBUTANO-REPOSICION,84,420min (7.00h),0.023082431618233323,12000
horno | FIC-1903C-F-2-OLEFINAS,63,315min (5.25h),0.022412028327476657,12000
reactor_de_alquilacion | FIC-1903C,63,315min (5.25h),0.021767729684684555,12000
psh | FIC-4061,69,345min (5.75h),0.020780024578212056,12000
debutanizadora_y_tratamiento_de_alquilato | PDI-2110,84,420min (7.00h),0.019404714186540602,12000
tratadores_e_intercambiadores_de_propano | TIC-2400,96,480min (8.00h),0.01923492468451905,12000
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,84,420min (7.00h),0.017290631294082134,12000
psh | LI-4040,96,480min (8.00h),0.016262617319668143,12000
horno | PI-1678,456,2280min (38.00h),0.014821268894199238,12000
horno | PI-1659A,120,600min (10.00h),0.011121507292288604,12000
horno | PI-1659B,108,540min (9.00h),0.010692218980364251,12000
