feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
tratadores_e_intercambiadores_de_butano | AI-1224B,0,0min (0.00h),-0.8053571087171038,0.8053571087171038,-0.8588792128854029,0.8588792128854029,119456
tratadores_e_intercambiadores_de_propano | TIC-2400,84,420min (7.00h),-0.6055544964354473,0.6055544964354473,-0.3470675362189102,0.3470675362189102,113910
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,18,90min (1.50h),-0.5813636740011628,0.5813636740011628,-0.7556843589530338,0.7556843589530338,100481
psh | LI-4040,84,420min (7.00h),-0.551527208494218,0.551527208494218,-0.3281229553934973,0.3281229553934973,81255
horno | PI-1678,456,2280min (38.00h),-0.5357212309485747,0.5357212309485747,0.13318727253135673,0.13318727253135673,95664
horno | FIC-1903C-F-2-OLEFINAS,54,270min (4.50h),-0.5259670394744494,0.5259670394744494,-0.3541946846939691,0.3541946846939691,117390
debutanizadora_y_tratamiento_de_alquilato | PDI-2110,84,420min (7.00h),0.5216527534443869,0.5216527534443869,0.28019344161611615,0.28019344161611615,113671
horno | FI-1903B-F-2-OLEFINAS,54,270min (4.50h),-0.5149531272319503,0.5149531272319503,-0.36336440941682435,0.36336440941682435,117161
reactor_de_alquilacion | FIC-1903C,54,270min (4.50h),-0.5111403152481615,0.5111403152481615,-0.3414427682767388,0.3414427682767388,118522
horno | FI-1059A-F-1-OLEFINAS,51,255min (4.25h),-0.504614456882315,0.504614456882315,-0.33228831363972716,0.33228831363972716,117202
horno | TI-1105A,108,540min (9.00h),-0.5007480963938357,0.5007480963938357,-0.19604970118128207,0.19604970118128207,95285
reactor_de_alquilacion | FI-1903B,54,270min (4.50h),-0.5006713743222524,0.5006713743222524,-0.34930171689861705,0.34930171689861705,118293
debutanizadora_y_tratamiento_de_alquilato | TI-1567,18,90min (1.50h),-0.49548821915150026,0.49548821915150026,-0.43693847330244145,0.43693847330244145,114459
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,66,330min (5.50h),-0.49516513953980706,0.49516513953980706,-0.23368903661470952,0.23368903661470952,114420
horno | PI-1659B,96,480min (8.00h),-0.4943875722957389,0.4943875722957389,-0.07266807629669093,0.07266807629669093,94749
horno | FI-1000-ISOBUTANO-REPOSICION,69,345min (5.75h),-0.49221400635958806,0.49221400635958806,-0.2898441614539913,0.2898441614539913,117896
isostripper | TI-1567,48,240min (4.00h),-0.4915377020463683,0.4915377020463683,-0.40564634464185273,0.40564634464185273,116243
reactor_de_alquilacion | FI-1059A,51,255min (4.25h),-0.4908534762527947,0.4908534762527947,-0.3187763154074249,0.3187763154074249,118337
horno | PI-1659A,108,540min (9.00h),-0.4906548811819581,0.4906548811819581,-0.0025675590111316586,0.0025675590111316586,95654
psh | FIC-4061,63,315min (5.25h),-0.4897797923228634,0.4897797923228634,-0.3409274098537817,0.3409274098537817,117423
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,54,270min (4.50h),-0.4820574083871935,0.4820574083871935,-0.29857359842855147,0.29857359842855147,117295
horno | TI-1514,108,540min (9.00h),-0.47955916032197055,0.47955916032197055,-0.28783041474083826,0.28783041474083826,94169
isostripper | FIC-2100,57,285min (4.75h),-0.47773562371313993,0.47773562371313993,-0.3024878113752462,0.3024878113752462,119085
debutanizadora_y_tratamiento_de_alquilato | TI-2105,15,75min (1.25h),-0.47502186998232043,0.47502186998232043,-0.7622696891595446,0.7622696891595446,116214
tratadores_e_intercambiadores_de_propano | PIC-2417,108,540min (9.00h),-0.4725168176725084,0.4725168176725084,-0.09045363630082615,0.09045363630082615,119096
psh | TI-4135,48,240min (4.00h),-0.46941035838811374,0.46941035838811374,-0.18221447133437843,0.18221447133437843,116246
psh | TI-4043C,60,300min (5.00h),-0.4640520345932366,0.4640520345932366,-0.08739445438698738,0.08739445438698738,115335
isostripper | PIC-1921,108,540min (9.00h),-0.46146845974136724,0.46146845974136724,-0.1546492936399614,0.1546492936399614,119106
reactor_de_alquilacion | PI-1921,108,540min (9.00h),-0.46146845974136724,0.46146845974136724,-0.1546492936399614,0.1546492936399614,119106
psh | PIC-4080,576,2880min (48.00h),-0.46105256092431296,0.46105256092431296,-0.15599498104089468,0.15599498104089468,117421
psh | TI-4043A,60,300min (5.00h),-0.46104442167861703,0.46104442167861703,-0.09034665827115655,0.09034665827115655,115329
horno | FI-1238-ALQUILATO,57,285min (4.75h),-0.45794283729248325,0.45794283729248325,-0.3431214860895678,0.3431214860895678,118014
psh | TI-4043B,60,300min (5.00h),-0.45654831932147605,0.45654831932147605,-0.07001914469727347,0.07001914469727347,116214
lab_carga_D03_a_E28 | FIC-1903C_OLEFINAS_2,51,255min (4.25h),-0.4561439672422264,0.4561439672422264,-0.43552804918236093,0.43552804918236093,54957
isostripper | FI-2315,120,600min (10.00h),-0.4553695140524392,0.4553695140524392,-0.27800610314289537,0.27800610314289537,115041
reactor_de_alquilacion | FIC-1059C,51,255min (4.25h),-0.4545767554183822,0.4545767554183822,-0.2982724371227013,0.2982724371227013,118015
psh | TI-4063,84,420min (7.00h),-0.4534631773144195,0.4534631773144195,0.010217019097454733,0.010217019097454733,115644
lab_isobutano_reciclo | FIC-1903C-Olefinas 2,51,255min (4.25h),-0.45047684315757885,0.45047684315757885,-0.43911533758412236,0.43911533758412236,55476
psh | TIC-4017,72,360min (6.00h),-0.44898328246391933,0.44898328246391933,-0.00878373956622018,0.00878373956622018,117402
debutanizadora_y_tratamiento_de_alquilato | TI-2102,21,105min (1.75h),-0.44885992597699154,0.44885992597699154,-0.6767272979156321,0.6767272979156321,116086
psh | TI-4115,120,600min (10.00h),-0.44554088971215894,0.44554088971215894,-0.14203311545745334,0.14203311545745334,115603
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,57,285min (4.75h),-0.44509518748106963,0.44509518748106963,-0.32690854102664535,0.32690854102664535,117307
despropanizadora_y_despojo | LIC-1152,144,720min (12.00h),-0.4439629383363652,0.4439629383363652,-0.19676561729909273,0.19676561729909273,116709
isostripper | TI-1565,18,90min (1.50h),-0.4437063198899421,0.4437063198899421,-0.38129912291917495,0.38129912291917495,118040
tratadores_e_intercambiadores_de_propano | TI-2403,54,270min (4.50h),-0.44329434796187683,0.44329434796187683,-0.2465499479982809,0.2465499479982809,119108
psh | PI-4041B,84,420min (7.00h),-0.4430932708590057,0.4430932708590057,-0.026323744839672116,0.026323744839672116,117428
reactor_de_alquilacion | PI-1053,96,480min (8.00h),-0.44267144722324464,0.44267144722324464,-0.005218324088717282,0.005218324088717282,119150
reactor_de_alquilacion | PI-1053.1,96,480min (8.00h),-0.44267144722324464,0.44267144722324464,-0.005218324088717282,0.005218324088717282,119150
isostripper | TI-1571,15,75min (1.25h),-0.4426271910588059,0.4426271910588059,-0.43326534999087174,0.43326534999087174,118037
psh | TI-4070,108,540min (9.00h),-0.44016674396109395,0.44016674396109395,-0.11703429760687438,0.11703429760687438,115626
tratadores_e_intercambiadores_de_propano | TI-2401,96,480min (8.00h),-0.43536282004429405,0.43536282004429405,-0.3037859591184201,0.3037859591184201,119004
tratadores_e_intercambiadores_de_propano | TI-2405,51,255min (4.25h),-0.4303108057542658,0.4303108057542658,-0.16514776963507746,0.16514776963507746,119103
tratadores_e_intercambiadores_de_propano | TI-2406,54,270min (4.50h),-0.4300508931062915,0.4300508931062915,-0.1854980515563276,0.1854980515563276,119089
psh | PI-4041A,84,420min (7.00h),-0.4300147576501289,0.4300147576501289,-0.015847226362150094,0.015847226362150094,117392
tratadores_e_intercambiadores_de_propano | TI-2404,66,330min (5.50h),-0.42989942267051273,0.42989942267051273,-0.21939405008119123,0.21939405008119123,118163
despropanizadora_y_despojo | PIC-1150,108,540min (9.00h),-0.4292715059484687,0.4292715059484687,-0.09988999416240717,0.09988999416240717,119052
debutanizadora_y_tratamiento_de_alquilato | PI-2110A,63,315min (5.25h),-0.4266515951078313,0.4266515951078313,-0.02817120493869568,0.02817120493869568,113978
horno | PI-1658,504,2520min (42.00h),-0.42425825886085133,0.42425825886085133,0.07187494860028315,0.07187494860028315,95663
psh | PIC-4051B,96,480min (8.00h),-0.4226983697900898,0.4226983697900898,-0.12220053875951513,0.12220053875951513,117446
debutanizadora_y_tratamiento_de_alquilato | TI-2101,120,600min (10.00h),-0.422131362631725,0.422131362631725,-0.2791526276693996,0.2791526276693996,116119
horno | TI-1508,108,540min (9.00h),-0.42209112248239744,0.42209112248239744,-0.2390231168698516,0.2390231168698516,116999
