feature,importance_mean,importance_std
tratadores_e_intercambiadores_de_butano | AI-1224B [lag=0x5min],1.836008858327107,0.007115578713899668
horno | TI-1105A [lag=108x5min],0.03641598287643845,0.001763341615277849
horno | TI-1514 [lag=108x5min],0.018561815519767155,0.00245329406389505
debutanizadora_y_tratamiento_de_alquilato | TI-2105 [lag=15x5min],0.011889052631877256,0.00033271260844774844
isostripper | TI-1567 [lag=48x5min],0.00891769209786758,0.0003987286843983734
debutanizadora_y_tratamiento_de_alquilato | TI-1567 [lag=18x5min],0.008140275685239992,0.00044244747129948474
isostripper | FIC-2100 [lag=57x5min],0.005221234879064271,7.651043124655657e-05
reactor_de_alquilacion | FI-1903B [lag=54x5min],0.0026736815987883494,0.00027532561936581264
horno | FI-1903B-F-2-OLEFINAS [lag=54x5min],0.0023441005400569453,0.00032918543342075145
debutanizadora_y_tratamiento_de_alquilato | FIC-2100 [lag=54x5min],0.0022703916687117215,7.959525045194331e-05
horno | PI-1659A [lag=108x5min],0.0012754315303161873,0.0002965715618689739
debutanizadora_y_tratamiento_de_alquilato | PI-2110B [lag=66x5min],0.00114156332299499,8.847332697246323e-05
reactor_de_alquilacion | FI-1059A [lag=51x5min],0.0006832328801475995,0.00011459877265734062
psh | LI-4040 [lag=84x5min],-2.0747179716160136e-05,1.4219612407339242e-05
reactor_de_alquilacion | FIC-1903C [lag=54x5min],-0.000671011354444917,0.00037445329288790015
horno | FIC-1903C-F-2-OLEFINAS [lag=54x5min],-0.0008840394160779114,0.0003661152088622613
horno | FI-1059A-F-1-OLEFINAS [lag=51x5min],-0.0009058539414861511,4.292456658175869e-05
tratadores_e_intercambiadores_de_propano | TIC-2400 [lag=84x5min],-0.0010114345662408514,0.00039607574901587425
horno | FI-1000-ISOBUTANO-REPOSICION [lag=69x5min],-0.0010917435559626154,8.454020284601567e-05
debutanizadora_y_tratamiento_de_alquilato | PDI-2110 [lag=84x5min],-0.0012004907346037097,6.00974698193053e-05
psh | FIC-4061 [lag=63x5min],-0.0023252861870816516,0.0006332565675706729
debutanizadora_y_tratamiento_de_alquilato | TIC-2103 [lag=18x5min],-0.0038579765209151295,0.0060154196924210954
horno | PI-1659B [lag=96x5min],-0.028201572265026023,0.0002447532056665698
horno | PI-1678 [lag=456x5min],-0.04553440889939005,0.0029287249451399036
