feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples,mutual_information,transfer_entropy,importance_mean,pearson_score,spearman_score,mi_score,te_score,rf_score,consensus_score
tratadores_e_intercambiadores_de_butano | AI-1224B,0,0min (0.00h),-0.8053571087171038,0.8053571087171038,-0.8588792128854029,0.8588792128854029,119456,3.930344484738495,0.07609469688761494,1.836008858327107,1.0,1.0,1.0,0.36975182359072173,1.0,0.9054627735386084
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,18,90min (1.50h),-0.5813636740011628,0.5813636740011628,-0.7556843589530338,0.7556843589530338,100481,0.7362493135881456,0.20579938226848113,-0.0038579765209151295,0.7189384535820867,0.8797894925278569,0.1873243723157086,1.0,0.022150132343174003,0.5047054448236354
debutanizadora_y_tratamiento_de_alquilato | TI-2105,15,75min (1.25h),-0.47502186998232043,0.47502186998232043,-0.7622696891595446,0.7622696891595446,116214,0.9535179783213579,,0.011889052631877256,0.5855033289128749,0.8874606685199767,0.24260417427120262,0.0,0.030519341506248104,0.3356456027370178
debutanizadora_y_tratamiento_de_alquilato | TI-1567,18,90min (1.50h),-0.49548821915150026,0.49548821915150026,-0.43693847330244145,0.43693847330244145,114459,0.4790904074191813,0.05654163410373159,0.008140275685239992,0.611184009037779,0.508486048522529,0.12189527133804343,0.2747415151614434,0.028526946746087644,0.30179092776617117
isostripper | TI-1567,48,240min (4.00h),-0.4915377020463683,0.4915377020463683,-0.40564634464185273,0.40564634464185273,116243,0.4817735968569723,0.04983909939550686,0.00891769209786758,0.6062269956854596,0.4720342050164736,0.12257795690115622,0.24217322154294865,0.028940126940329762,0.2904384860205919
tratadores_e_intercambiadores_de_propano | TIC-2400,84,420min (7.00h),-0.6055544964354473,0.6055544964354473,-0.3470675362189102,0.3470675362189102,113910,0.2915129344611005,0.023206074095505274,-0.0010114345662408514,0.74929251271388,0.4037964197074275,0.07416981783480903,0.11276065962739949,0.02366300850406625,0.28555640577167246
horno | FIC-1903C-F-2-OLEFINAS,54,270min (4.50h),-0.5259670394744494,0.5259670394744494,-0.3541946846939691,0.3541946846939691,117390,0.3643980087046259,0.035106449162688076,-0.0008840394160779114,0.6494280958960631,0.4120987536162253,0.09271401275882592,0.1705857849315068,0.023730716301373897,0.2742351863832842
horno | FI-1903B-F-2-OLEFINAS,54,270min (4.50h),-0.5149531272319503,0.5149531272319503,-0.36336440941682435,0.36336440941682435,117161,0.3796701663983306,0.03548604338916805,0.0023441005400569453,0.6356081050962716,0.4227804612819651,0.09659971737148937,0.17243027164616934,0.025446403637596208,0.27386518059698506
reactor_de_alquilacion | FIC-1903C,54,270min (4.50h),-0.5111403152481615,0.5111403152481615,-0.3414427682767388,0.3414427682767388,118522,0.3662178863993546,0.03658781895296769,-0.000671011354444917,0.6308238808009327,0.3972441917331082,0.09317704537639807,0.17778391047469747,0.02384393615942532,0.26855657864654
reactor_de_alquilacion | FI-1903B,54,270min (4.50h),-0.5006713743222524,0.5006713743222524,-0.34930171689861705,0.34930171689861705,118293,0.38537669505160643,0.03641762377010383,0.0026736815987883494,0.6176877068334891,0.406398991280115,0.09805163301792551,0.17695691487836557,0.025621568920516983,0.2679410314658587
horno | FI-1059A-F-1-OLEFINAS,51,255min (4.25h),-0.504614456882315,0.504614456882315,-0.33228831363972716,0.33228831363972716,117202,0.34562563755474063,0.03694579713299485,-0.0009058539414861511,0.6226353914983996,0.38658027201607376,0.08793774665218354,0.17952336263476346,0.02371912234773583,0.2640917229895961
