feature,best_lag_steps,best_lag_label,mutual_information,samples
tratadores_e_intercambiadores_de_butano | AI-1224B,0,0min (0.00h),3.930344484738495,25000
debutanizadora_y_tratamiento_de_alquilato | TI-2105,15,75min (1.25h),0.9535179783213579,25000
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,18,90min (1.50h),0.7362493135881456,25000
isostripper | TI-1567,48,240min (4.00h),0.4817735968569723,25000
debutanizadora_y_tratamiento_de_alquilato | TI-1567,18,90min (1.50h),0.4790904074191813,25000
psh | TI-4043C,60,300min (5.00h),0.4249016968989574,25000
psh | FIC-4061,63,315min (5.25h),0.38684844916111594,25000
reactor_de_alquilacion | FI-1903B,54,270min (4.50h),0.38537669505160643,25000
isostripper | FIC-2100,57,285min (4.75h),0.383973158211278,25000
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,54,270min (4.50h),0.3827488842406215,25000
horno | FI-1903B-F-2-OLEFINAS,54,270min (4.50h),0.3796701663983306,25000
horno | FI-1000-ISOBUTANO-REPOSICION,69,345min (5.75h),0.3738551938832151,25000
reactor_de_alquilacion | FIC-1903C,54,270min (4.50h),0.3662178863993546,25000
horno | FIC-1903C-F-2-OLEFINAS,54,270min (4.50h),0.3643980087046259,25000
horno | TI-1514,108,540min (9.00h),0.35763180387239935,25000
reactor_de_alquilacion | FI-1059A,51,255min (4.25h),0.3466887863712289,25000
horno | FI-1059A-F-1-OLEFINAS,51,255min (4.25h),0.34562563755474063,25000
isostripper | PIC-1921,108,540min (9.00h),0.31964407238593395,25000
reactor_de_alquilacion | PI-1921,108,540min (9.00h),0.31964407238593395,25000
horno | TI-1105A,108,540min (9.00h),0.3182191572435631,25000
psh | TI-4135,48,240min (4.00h),0.3157771005964465,25000
tratadores_e_intercambiadores_de_propano | TIC-2400,84,420min (7.00h),0.2915129344611005,25000
tratadores_e_intercambiadores_de_propano | PIC-2417,108,540min (9.00h),0.278784047311893,25000
psh | LI-4040,84,420min (7.00h),0.2608059967850682,25000
debutanizadora_y_tratamiento_de_alquilato | PDI-2110,84,420min (7.00h),0.23339142604128682,25000
horno | PI-1659A,108,540min (9.00h),0.2180125059393605,25000
psh | PIC-4080,576,2880min (48.00h),0.20823689953682045,25000
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,66,330min (5.50h),0.19096268103413738,25000
horno | PI-1659B,96,480min (8.00h),0.18501893740065167,25000
horno | PI-1678,456,2280min (38.00h),0.18443369085647277,25000
