feature,best_lag_steps,best_lag_label,transfer_entropy,samples
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,18,90min (1.50h),0.20579938226848113,12000
tratadores_e_intercambiadores_de_butano | AI-1224B,0,0min (0.00h),0.07609469688761494,12000
debutanizadora_y_tratamiento_de_alquilato | TI-1567,18,90min (1.50h),0.05654163410373159,12000
isostripper | TI-1567,48,240min (4.00h),0.04983909939550686,12000
horno | FI-1059A-F-1-OLEFINAS,51,255min (4.25h),0.03694579713299485,12000
reactor_de_alquilacion | FIC-1903C,54,270min (4.50h),0.03658781895296769,12000
reactor_de_alquilacion | FI-1903B,54,270min (4.50h),0.03641762377010383,12000
horno | FI-1903B-F-2-OLEFINAS,54,270min (4.50h),0.03548604338916805,12000
reactor_de_alquilacion | FI-1059A,51,255min (4.25h),0.03522152753627019,12000
horno | FIC-1903C-F-2-OLEFINAS,54,270min (4.50h),0.035106449162688076,12000
horno | FI-1000-ISOBUTANO-REPOSICION,69,345min (5.75h),0.030311634102430096,12000
horno | TI-1105A,108,540min (9.00h),0.02995282264529696,12000
debutanizadora_y_tratamiento_de_alquilato | PDI-2110,84,420min (7.00h),0.027647357371213738,12000
psh | FIC-4061,63,315min (5.25h),0.027087812745765015,12000
tratadores_e_intercambiadores_de_propano | TIC-2400,84,420min (7.00h),0.023206074095505274,12000
psh | LI-4040,84,420min (7.00h),0.02141283956273115,12000
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,66,330min (5.50h),0.019551397736509823,12000
horno | PI-1678,456,2280min (38.00h),0.019136000911184753,12000
horno | PI-1659A,108,540min (9.00h),0.017465867582105946,12000
horno | PI-1659B,96,480min (8.00h),0.013311255921031058,12000
