feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
tratadores_e_intercambiadores_de_butano | AI-1224A,7,35min (0.58h),-0.8074152799558487,0.8074152799558487,-0.8533409256876053,0.8533409256876053,119333
tratadores_e_intercambiadores_de_propano | TI-2403,51,255min (4.25h),0.7141779157866999,0.7141779157866999,0.3583728965879539,0.3583728965879539,119296
tratadores_e_intercambiadores_de_propano | TI-2401,66,330min (5.50h),0.6860959962415706,0.6860959962415706,0.41038996545340944,0.41038996545340944,119211
tratadores_e_intercambiadores_de_propano | TI-2405,48,240min (4.00h),0.682695835209628,0.682695835209628,0.28508716517319943,0.28508716517319943,119286
debutanizadora_y_tratamiento_de_alquilato | TI-2105,24,120min (2.00h),0.6775881947130982,0.6775881947130982,0.8513714656094477,0.8513714656094477,116375
tratadores_e_intercambiadores_de_propano | TI-2404,60,300min (5.00h),0.6727483912269565,0.6727483912269565,0.33507421332511156,0.33507421332511156,118354
isostripper | TI-1565,24,120min (2.00h),0.6644481112159949,0.6644481112159949,0.5286870878064351,0.5286870878064351,118200
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,63,315min (5.25h),0.6613330527158986,0.6613330527158986,0.4081983882935867,0.4081983882935867,117469
tratadores_e_intercambiadores_de_propano | TIC-2400,69,345min (5.75h),0.659359337353698,0.659359337353698,0.34623689011196357,0.34623689011196357,114105
isostripper | FIC-2100,63,315min (5.25h),0.658286445301671,0.658286445301671,0.4038804642316367,0.4038804642316367,119257
reactor_de_alquilacion | PI-1053,57,285min (4.75h),0.6515925908275622,0.6515925908275622,0.17126957175178512,0.17126957175178512,119370
reactor_de_alquilacion | PI-1053.1,57,285min (4.75h),0.6515925908275622,0.6515925908275622,0.17126957175178512,0.17126957175178512,119370
tratadores_e_intercambiadores_de_propano | PIC-2417,66,330min (5.50h),0.6481234006842809,0.6481234006842809,0.19671282065817036,0.19671282065817036,119315
tratadores_e_intercambiadores_de_propano | TI-2406,54,270min (4.50h),0.6440811408345882,0.6440811408345882,0.30267880133812386,0.30267880133812386,119270
debutanizadora_y_tratamiento_de_alquilato | TI-2102,24,120min (2.00h),0.638851804501818,0.638851804501818,0.7664916786999194,0.7664916786999194,116262
reactor_de_alquilacion | FIC-1903C,63,315min (5.25h),0.6386689167510469,0.6386689167510469,0.422250990977522,0.422250990977522,118686
debutanizadora_y_tratamiento_de_alquilato | TI-1567,27,135min (2.25h),0.63707381755085,0.63707381755085,0.5182453462493495,0.5182453462493495,114608
isostripper | TI-1567,27,135min (2.25h),0.6365497593861906,0.6365497593861906,0.5171962486588688,0.5171962486588688,116432
horno | FIC-1903C-F-2-OLEFINAS,63,315min (5.25h),0.6309810449300838,0.6309810449300838,0.4135681413190971,0.4135681413190971,117563
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,63,315min (5.25h),0.6212643121130125,0.6212643121130125,0.4272822411186878,0.4272822411186878,117485
psh | LI-4040,108,540min (9.00h),0.6195808213092888,0.6195808213092888,0.39183258015784905,0.39183258015784905,81412
horno | FI-1000-ISOBUTANO-REPOSICION,72,360min (6.00h),0.6185432960415134,0.6185432960415134,0.35808769352593484,0.35808769352593484,118077
psh | TI-4063,72,360min (6.00h),0.6176609679182057,0.6176609679182057,0.13068764774409333,0.13068764774409333,115821
reactor_de_alquilacion | FI-1059A,57,285min (4.75h),0.6172808764054756,0.6172808764054756,0.4068516930600478,0.4068516930600478,118505
psh | TIC-4017,72,360min (6.00h),0.6150315754311784,0.6150315754311784,0.14120642449254897,0.14120642449254897,117583
isostripper | TI-1571,24,120min (2.00h),0.6120449928504493,0.6120449928504493,0.5546725692194725,0.5546725692194725,118173
tratadores_e_intercambiadores_de_propano | FIC-2415,63,315min (5.25h),0.6102793986285913,0.6102793986285913,0.08217917455076529,0.08217917455076529,118757
horno | FI-1059A-F-1-OLEFINAS,60,300min (5.00h),0.6097363431910139,0.6097363431910139,0.39953054366783763,0.39953054366783763,117375
reactor_de_alquilacion | FI-1903B,63,315min (5.25h),0.6067794636090096,0.6067794636090096,0.43073357232706366,0.43073357232706366,118447
horno | FI-1238-ALQUILATO,63,315min (5.25h),0.6047639261963299,0.6047639261963299,0.4128326341104505,0.4128326341104505,118190
reactor_de_alquilacion | PI-1905,60,300min (5.00h),0.6007798532702888,0.6007798532702888,0.17478886216632455,0.17478886216632455,117443
horno | FI-1903B-F-2-OLEFINAS,63,315min (5.25h),0.5983878619248384,0.5983878619248384,0.4224256774792881,0.4224256774792881,117324
debutanizadora_y_tratamiento_de_alquilato | TI-2101,108,540min (9.00h),0.5953520197371671,0.5953520197371671,0.3280068984384302,0.3280068984384302,116312
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,24,120min (2.00h),0.5935013626615915,0.5935013626615915,0.7535494381464514,0.7535494381464514,100645
psh | TI-4043C,72,360min (6.00h),0.5897057842968728,0.5897057842968728,0.22481394468917137,0.22481394468917137,115503
despropanizadora_y_despojo | PIC-1150,84,420min (7.00h),0.5882998332637704,0.5882998332637704,0.16031992030083694,0.16031992030083694,119257
reactor_de_alquilacion | FIC-1059C,57,285min (4.75h),0.5876102299070541,0.5876102299070541,0.38439680531888637,0.38439680531888637,118183
isostripper | FI-2315,96,480min (8.00h),0.5783956359694883,0.5783956359694883,0.3680318311614017,0.3680318311614017,115258
psh | TI-4043A,72,360min (6.00h),0.5757476964285112,0.5757476964285112,0.23104810213619018,0.23104810213619018,115497
psh | TI-4043B,72,360min (6.00h),0.574337971966192,0.574337971966192,0.21002246966197088,0.21002246966197088,116382
isostripper | PIC-1921,72,360min (6.00h),0.5713996278883327,0.5713996278883327,0.2318594539966889,0.2318594539966889,119314
reactor_de_alquilacion | PI-1921,72,360min (6.00h),0.5713996278883327,0.5713996278883327,0.2318594539966889,0.2318594539966889,119314
debutanizadora_y_tratamiento_de_alquilato | TI-2106,96,480min (8.00h),0.5704287745567485,0.5704287745567485,0.2625859936228766,0.2625859936228766,116364
psh | TI-4135,48,240min (4.00h),0.5677020071984065,0.5677020071984065,0.3029274146681224,0.3029274146681224,116427
despropanizadora_y_despojo | PI-1166,72,360min (6.00h),0.5659567314898055,0.5659567314898055,0.08813806009777096,0.08813806009777096,118848
tratadores_e_intercambiadores_de_butano | FI-1223,4,20min (0.33h),0.5636651725719601,0.5636651725719601,0.30408477764813935,0.30408477764813935,119539
isostripper | TI-1497,96,480min (8.00h),0.5536459950876703,0.5536459950876703,0.2258174316675623,0.2258174316675623,118264
horno | TI-1508,108,540min (9.00h),0.5526563083442018,0.5526563083442018,0.27828725590267145,0.27828725590267145,117180
horno | TI-1497,108,540min (9.00h),0.5521809824236921,0.5521809824236921,0.22443464054819046,0.22443464054819046,117172
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,84,420min (7.00h),0.5500489014422386,0.5500489014422386,0.2822146636552678,0.2822146636552678,114594
isostripper | TI-1108,96,480min (8.00h),0.5485130088552863,0.5485130088552863,0.148816499019886,0.148816499019886,118154
debutanizadora_y_tratamiento_de_alquilato | PIC-2124,84,420min (7.00h),0.5478991741024329,0.5478991741024329,0.15421312711750432,0.15421312711750432,117550
horno | FI-1499B,96,480min (8.00h),0.541804208050037,0.541804208050037,0.2340630124438068,0.2340630124438068,117371
horno | TI-1515B-T-CONTROL-H-01,108,540min (9.00h),0.5417143349089553,0.5417143349089553,0.14319777297565928,0.14319777297565928,115918
isostripper | TI-1098,54,270min (4.50h),0.5413001815971367,0.5413001815971367,0.0056462346553362505,0.0056462346553362505,119347
horno | TI-1515A-T-CONTROL-H-01,108,540min (9.00h),0.540997160860224,0.540997160860224,0.14754941400963992,0.14754941400963992,116819
debutanizadora_y_tratamiento_de_alquilato | TI-2104,96,480min (8.00h),0.5403481286734453,0.5403481286734453,0.2574146384970628,0.2574146384970628,116359
horno | TI-1105A,108,540min (9.00h),0.5365542758346246,0.5365542758346246,0.1853015991886816,0.1853015991886816,95454
horno | TI-1511,108,540min (9.00h),0.5362202377081916,0.5362202377081916,0.21376444282825288,0.21376444282825288,116951
regenerador_de_acido | TI-1628,96,480min (8.00h),0.5359360233769428,0.5359360233769428,0.15988953155398872,0.15988953155398872,118106
