feature,importance_mean,importance_std
tratadores_e_intercambiadores_de_butano | AI-1224A [lag=7x5min],1.4763528666515788,0.006583962893676635
tratadores_e_intercambiadores_de_propano | TI-2405 [lag=48x5min],0.15911441508058144,0.005469205576674151
reactor_de_alquilacion | FI-1059A [lag=57x5min],0.0289886402652188,0.00175309197140644
isostripper | TI-1565 [lag=24x5min],0.002631116018065635,0.0010112418273146547
tratadores_e_intercambiadores_de_propano | PIC-2417 [lag=66x5min],0.001898343812368461,0.0004831707020491204
horno | FI-1000-ISOBUTANO-REPOSICION [lag=72x5min],0.0016753562173934256,0.00019434049011197898
debutanizadora_y_tratamiento_de_alquilato | TI-2102 [lag=24x5min],0.0012077458911791406,0.00016346665424102631
debutanizadora_y_tratamiento_de_alquilato | FIC-1238 [lag=63x5min],0.000636890287801728,0.00020154639497988415
tratadores_e_intercambiadores_de_propano | TI-2403 [lag=51x5min],0.0005884376576772571,0.0007761738132721792
debutanizadora_y_tratamiento_de_alquilato | TI-1567 [lag=27x5min],0.00043527918522044684,8.721733933956068e-05
psh | TI-4063 [lag=72x5min],0.0003864045191842025,0.0005750502240459137
isostripper | TI-1567 [lag=27x5min],0.0003595717003272436,8.559896982757426e-05
psh | LI-4040 [lag=108x5min],0.0002310129606754724,3.5638440234357086e-05
tratadores_e_intercambiadores_de_propano | TI-2401 [lag=66x5min],-8.25252360932699e-05,5.588469147790277e-05
tratadores_e_intercambiadores_de_propano | TI-2404 [lag=60x5min],-0.0009300705857573921,9.853132663594389e-05
tratadores_e_intercambiadores_de_propano | TI-2406 [lag=54x5min],-0.0029009795939699268,0.00020445505494116073
tratadores_e_intercambiadores_de_propano | TIC-2400 [lag=69x5min],-0.003011789649254651,0.00044715813650671675
reactor_de_alquilacion | PI-1053 [lag=57x5min],-0.0035809868169447145,0.00011562000009125112
reactor_de_alquilacion | FIC-1903C [lag=63x5min],-0.003659842956777251,0.00014907311651673355
horno | FIC-1903C-F-2-OLEFINAS [lag=63x5min],-0.003717492409032963,0.0001333192698391711
reactor_de_alquilacion | PI-1053.1 [lag=57x5min],-0.0037961023842554564,0.00017621440168996076
debutanizadora_y_tratamiento_de_alquilato | FIC-2100 [lag=63x5min],-0.004866528632623421,0.00033869282366959187
isostripper | FIC-2100 [lag=63x5min],-0.005755714987119118,0.00030795637645220244
debutanizadora_y_tratamiento_de_alquilato | TI-2105 [lag=24x5min],-0.019649520667645873,0.0018491294935297107
