feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples,mutual_information,transfer_entropy,importance_mean,pearson_score,spearman_score,mi_score,te_score,rf_score,consensus_score
tratadores_e_intercambiadores_de_butano | AI-1224A,7,35min (0.58h),-0.8074152799558487,0.8074152799558487,-0.8533409256876053,0.8533409256876053,119333,1.8077539144550263,0.22448022771814471,1.4763528666515788,1.0,1.0,1.0,0.9091288594622625,1.0,0.9863693289193395
debutanizadora_y_tratamiento_de_alquilato | TI-2105,24,120min (2.00h),0.6775881947130982,0.6775881947130982,0.8513714656094477,0.8513714656094477,116375,0.836993739092482,0.24691794279957383,-0.019649520667645873,0.8376826677187105,0.9976910178245882,0.46300203384972666,1.0,0.0,0.6016747263733112
debutanizadora_y_tratamiento_de_alquilato | TI-2102,24,120min (2.00h),0.638851804501818,0.638851804501818,0.7664916786999194,0.7664916786999194,116262,0.7003094226791067,0.17429298723118256,0.0012077458911791406,0.7892521918319144,0.8981785081776885,0.3873920100957022,0.7058741266634406,0.013942000852151302,0.5188848454163263
isostripper | TI-1565,24,120min (2.00h),0.6644481112159949,0.6644481112159949,0.5286870878064351,0.5286870878064351,118200,0.418889931458863,0.07236465583555277,0.002631116018065635,0.821254175195635,0.6193779538055565,0.23171844801959313,0.2930716780444425,0.014893449953403817,0.3922480406686782
isostripper | TI-1567,27,135min (2.25h),0.6365497593861906,0.6365497593861906,0.5171962486588688,0.5171962486588688,116432,0.46083652494216576,0.049659985344448265,0.0003595717003272436,0.7863740418583466,0.6059061687886834,0.25492215575209615,0.20111938719964897,0.01337504039938639,0.37197553511310233
debutanizadora_y_tratamiento_de_alquilato | TI-1567,27,135min (2.25h),0.63707381755085,0.63707381755085,0.5182453462493495,0.5182453462493495,114608,0.46089120321394805,0.045043425093872075,0.00043527918522044684,0.7870292496918174,0.6071361239746516,0.25495240227588745,0.1824226485251189,0.013425646926177344,0.3695380204846418
tratadores_e_intercambiadores_de_propano | TI-2405,48,240min (4.00h),0.682695835209628,0.682695835209628,0.28508716517319943,0.28508716517319943,119286,0.3470757882316349,0.01863636481816652,0.15911441508058144,0.8440685353371541,0.33378299022651053,0.19199282903296377,0.07547594397906464,0.11949441876798404,0.3406781444637136
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,63,315min (5.25h),0.6613330527158986,0.6613330527158986,0.4081983882935867,0.4081983882935867,117469,0.4108442567508641,0.025832108854317515,-0.004866528632623421,0.8173595488571452,0.4781177868191008,0.22726780092450752,0.10461819243037246,0.00988166339862129,0.3396742601362641
tratadores_e_intercambiadores_de_propano | TI-2401,66,330min (5.50h),0.6860959962415706,0.6860959962415706,0.41038996545340944,0.41038996545340944,119211,0.3464372182954296,0.020144849380707618,-8.25252360932699e-05,0.8483196133537311,0.4806871776151833,0.19163958961741104,0.0815851985169803,0.013079521528448802,0.3380185580638517
isostripper | TI-1571,24,120min (2.00h),0.6120449928504493,0.6120449928504493,0.5546725692194725,0.5546725692194725,118173,0.4307819570215212,,,0.7557367651697409,0.6498431630614475,0.23829679115997748,0.0,0.01313468536828809,0.3373536953257199
tratadores_e_intercambiadores_de_propano | TI-2403,51,255min (4.25h),0.7141779157866999,0.7141779157866999,0.3583728965879539,0.3583728965879539,119296,0.3248328230229056,0.019579920742028,0.0005884376576772571,0.8834292536678482,0.419702704682959,0.1796886293125971,0.0792972779540823,0.013528025420860942,0.3350270430302529
