feature,best_lag_steps,best_lag_label,mutual_information,samples
tratadores_e_intercambiadores_de_butano | AI-1224A,7,35min (0.58h),1.8077539144550263,25000
debutanizadora_y_tratamiento_de_alquilato | TI-2105,24,120min (2.00h),0.836993739092482,25000
debutanizadora_y_tratamiento_de_alquilato | TI-2102,24,120min (2.00h),0.7003094226791067,25000
psh | TIC-4017,72,360min (6.00h),0.48223767643632875,25000
reactor_de_alquilacion | PI-1053,57,285min (4.75h),0.4805049686686482,25000
reactor_de_alquilacion | PI-1053.1,57,285min (4.75h),0.4805049686686482,25000
psh | TI-4063,72,360min (6.00h),0.4775773761502382,25000
debutanizadora_y_tratamiento_de_alquilato | TI-1567,27,135min (2.25h),0.46089120321394805,25000
isostripper | TI-1567,27,135min (2.25h),0.46083652494216576,25000
isostripper | TI-1571,24,120min (2.00h),0.4307819570215212,25000
isostripper | TI-1565,24,120min (2.00h),0.418889931458863,25000
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,63,315min (5.25h),0.4108442567508641,25000
reactor_de_alquilacion | FI-1903B,63,315min (5.25h),0.40898876672379014,25000
reactor_de_alquilacion | FIC-1903C,63,315min (5.25h),0.39614798888488334,25000
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,63,315min (5.25h),0.3950215758197624,25000
isostripper | FIC-2100,63,315min (5.25h),0.39293285174190906,25000
horno | FI-1238-ALQUILATO,63,315min (5.25h),0.39063105136874476,25000
horno | FI-1000-ISOBUTANO-REPOSICION,72,360min (6.00h),0.38231504259772464,25000
horno | FIC-1903C-F-2-OLEFINAS,63,315min (5.25h),0.3799322024272218,25000
reactor_de_alquilacion | FI-1059A,57,285min (4.75h),0.361724782566327,25000
horno | FI-1059A-F-1-OLEFINAS,60,300min (5.00h),0.3600767025016385,25000
tratadores_e_intercambiadores_de_propano | TI-2405,48,240min (4.00h),0.3470757882316349,25000
tratadores_e_intercambiadores_de_propano | TI-2401,66,330min (5.50h),0.3464372182954296,25000
tratadores_e_intercambiadores_de_propano | TI-2403,51,255min (4.25h),0.3248328230229056,25000
tratadores_e_intercambiadores_de_propano | FIC-2415,63,315min (5.25h),0.3143416146725624,25000
tratadores_e_intercambiadores_de_propano | TI-2406,54,270min (4.50h),0.2991867541027089,25000
tratadores_e_intercambiadores_de_propano | PIC-2417,66,330min (5.50h),0.2932923852924674,25000
tratadores_e_intercambiadores_de_propano | TIC-2400,69,345min (5.75h),0.28893615378631754,25000
tratadores_e_intercambiadores_de_propano | TI-2404,60,300min (5.00h),0.28790055256020164,25000
psh | LI-4040,108,540min (9.00h),0.2725387284885379,25000
