feature,best_lag_steps,best_lag_label,transfer_entropy,samples
debutanizadora_y_tratamiento_de_alquilato | TI-2105,24,120min (2.00h),0.24691794279957383,12000
tratadores_e_intercambiadores_de_butano | AI-1224A,7,35min (0.58h),0.22448022771814471,12000
debutanizadora_y_tratamiento_de_alquilato | TI-2102,24,120min (2.00h),0.17429298723118256,12000
isostripper | TI-1565,24,120min (2.00h),0.07236465583555277,12000
isostripper | TI-1567,27,135min (2.25h),0.049659985344448265,12000
debutanizadora_y_tratamiento_de_alquilato | TI-1567,27,135min (2.25h),0.045043425093872075,12000
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,63,315min (5.25h),0.025832108854317515,12000
reactor_de_alquilacion | PI-1053,57,285min (4.75h),0.024374375988494776,12000
reactor_de_alquilacion | PI-1053.1,57,285min (4.75h),0.024374375988494776,12000
isostripper | FIC-2100,63,315min (5.25h),0.024062126452592644,12000
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,63,315min (5.25h),0.023167792690098644,12000
reactor_de_alquilacion | FIC-1903C,63,315min (5.25h),0.020648853567699993,12000
tratadores_e_intercambiadores_de_propano | TI-2401,66,330min (5.50h),0.020144849380707618,12000
horno | FIC-1903C-F-2-OLEFINAS,63,315min (5.25h),0.019745857690543017,12000
tratadores_e_intercambiadores_de_propano | TI-2403,51,255min (4.25h),0.019579920742028,12000
tratadores_e_intercambiadores_de_propano | TI-2405,48,240min (4.00h),0.01863636481816652,12000
tratadores_e_intercambiadores_de_propano | TI-2404,60,300min (5.00h),0.01840618528959385,12000
tratadores_e_intercambiadores_de_propano | TI-2406,54,270min (4.50h),0.018274785715185694,12000
tratadores_e_intercambiadores_de_propano | TIC-2400,69,345min (5.75h),0.01586550561055766,12000
tratadores_e_intercambiadores_de_propano | PIC-2417,66,330min (5.50h),0.013977128615447757,12000
