feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples
tratadores_e_intercambiadores_de_butano | AI-1224A,0,0min (0.00h),-0.8053571087171038,0.8053571087171038,-0.8588792128854029,0.8588792128854029,119456
tratadores_e_intercambiadores_de_propano | TI-2403,42,210min (3.50h),0.7030026204294147,0.7030026204294147,0.35263710746444493,0.35263710746444493,119298
tratadores_e_intercambiadores_de_propano | TI-2401,57,285min (4.75h),0.6759113872754088,0.6759113872754088,0.40532761248688526,0.40532761248688526,119239
tratadores_e_intercambiadores_de_propano | TI-2405,42,210min (3.50h),0.6720648116986815,0.6720648116986815,0.2790017212038843,0.2790017212038843,119289
debutanizadora_y_tratamiento_de_alquilato | TI-2105,15,75min (1.25h),0.6686304589365947,0.6686304589365947,0.8497069712973081,0.8497069712973081,116395
tratadores_e_intercambiadores_de_propano | TI-2404,54,270min (4.50h),0.6629169005320988,0.6629169005320988,0.3281294408053624,0.3281294408053624,118365
isostripper | TI-1565,15,75min (1.25h),0.6558922939517162,0.6558922939517162,0.5277224967019495,0.5277224967019495,118237
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,51,255min (4.25h),0.6522604300865424,0.6522604300865424,0.396227385601855,0.396227385601855,117479
isostripper | FIC-2100,51,255min (4.25h),0.6492328073379404,0.6492328073379404,0.3923445995200733,0.3923445995200733,119279
tratadores_e_intercambiadores_de_propano | TIC-2400,63,315min (5.25h),0.6492218484101011,0.6492218484101011,0.34294238932822485,0.34294238932822485,114125
reactor_de_alquilacion | PI-1053,48,240min (4.00h),0.6419569880672151,0.6419569880672151,0.1640845296521808,0.1640845296521808,119387
reactor_de_alquilacion | PI-1053.1,48,240min (4.00h),0.6419569880672151,0.6419569880672151,0.1640845296521808,0.1640845296521808,119387
tratadores_e_intercambiadores_de_propano | PIC-2417,57,285min (4.75h),0.6382469862112292,0.6382469862112292,0.19309762233521596,0.19309762233521596,119343
tratadores_e_intercambiadores_de_propano | TI-2406,42,210min (3.50h),0.6346843618705547,0.6346843618705547,0.29567625770624206,0.29567625770624206,119274
reactor_de_alquilacion | FIC-1903C,54,270min (4.50h),0.6302674724434747,0.6302674724434747,0.4145342250407792,0.4145342250407792,118703
debutanizadora_y_tratamiento_de_alquilato | TI-2102,18,90min (1.50h),0.6297952238429839,0.6297952238429839,0.760724616659627,0.760724616659627,116278
debutanizadora_y_tratamiento_de_alquilato | TI-1567,18,90min (1.50h),0.6277476581686888,0.6277476581686888,0.5151064104556143,0.5151064104556143,114628
isostripper | TI-1567,18,90min (1.50h),0.6274123057652764,0.6274123057652764,0.514345385098478,0.514345385098478,116461
horno | FIC-1903C-F-2-OLEFINAS,54,270min (4.50h),0.6226771792411618,0.6226771792411618,0.4056523084027638,0.4056523084027638,117571
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,54,270min (4.50h),0.6129954079821947,0.6129954079821947,0.41617366030149977,0.41617366030149977,117491
psh | LI-4040,84,420min (7.00h),0.6099823685551623,0.6099823685551623,0.3897704393061346,0.3897704393061346,81403
horno | FI-1000-ISOBUTANO-REPOSICION,63,315min (5.25h),0.6097439509854,0.6097439509854,0.34986132963157784,0.34986132963157784,118090
psh | TI-4063,72,360min (6.00h),0.6088719608718508,0.6088719608718508,0.13047651542807207,0.13047651542807207,115821
reactor_de_alquilacion | FI-1059A,48,240min (4.00h),0.6088154256337585,0.6088154256337585,0.39666933623355893,0.39666933623355893,118522
psh | TIC-4017,66,330min (5.50h),0.6061721008959234,0.6061721008959234,0.14249156727778525,0.14249156727778525,117592
isostripper | TI-1571,18,90min (1.50h),0.6041819011986784,0.6041819011986784,0.5519947320729555,0.5519947320729555,118191
horno | FI-1059A-F-1-OLEFINAS,48,240min (4.00h),0.6013424281181668,0.6013424281181668,0.3876697459633971,0.3876697459633971,117384
tratadores_e_intercambiadores_de_propano | FIC-2415,57,285min (4.75h),0.6011602465564774,0.6011602465564774,0.0778452633817802,0.0778452633817802,118771
reactor_de_alquilacion | FI-1903B,54,270min (4.50h),0.5989723644890257,0.5989723644890257,0.4229662659777722,0.4229662659777722,118474
horno | FI-1238-ALQUILATO,54,270min (4.50h),0.5965006760155406,0.5965006760155406,0.40190772015626774,0.40190772015626774,118202
reactor_de_alquilacion | PI-1905,48,240min (4.00h),0.5909782161213136,0.5909782161213136,0.1673390149809953,0.1673390149809953,117468
horno | FI-1903B-F-2-OLEFINAS,54,270min (4.50h),0.5906914734783482,0.5906914734783482,0.41448551726470984,0.41448551726470984,117342
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,18,90min (1.50h),0.5866904077217754,0.5866904077217754,0.7482534826272638,0.7482534826272638,100662
debutanizadora_y_tratamiento_de_alquilato | TI-2101,96,480min (8.00h),0.5865823509489511,0.5865823509489511,0.3273152097111417,0.3273152097111417,116314
psh | TI-4043C,72,360min (6.00h),0.5809585956899826,0.5809585956899826,0.21913728571923266,0.21913728571923266,115503
despropanizadora_y_despojo | PIC-1150,66,330min (5.50h),0.5793531147285347,0.5793531147285347,0.15804638954368402,0.15804638954368402,119284
reactor_de_alquilacion | FIC-1059C,48,240min (4.00h),0.5793258692823448,0.5793258692823448,0.3738984503073721,0.3738984503073721,118200
isostripper | FI-2315,96,480min (8.00h),0.5702313846633966,0.5702313846633966,0.36609675541359304,0.36609675541359304,115258
psh | TI-4043A,66,330min (5.50h),0.5669301609227362,0.5669301609227362,0.22623284931704257,0.22623284931704257,115506
psh | TI-4043B,69,345min (5.75h),0.5657605091031609,0.5657605091031609,0.20455925697200936,0.20455925697200936,116383
isostripper | PIC-1921,69,345min (5.75h),0.562776934024403,0.562776934024403,0.22705208783592504,0.22705208783592504,119318
reactor_de_alquilacion | PI-1921,69,345min (5.75h),0.562776934024403,0.562776934024403,0.22705208783592504,0.22705208783592504,119318
debutanizadora_y_tratamiento_de_alquilato | TI-2106,84,420min (7.00h),0.561969142000031,0.561969142000031,0.263753531627041,0.263753531627041,116356
psh | TI-4135,33,165min (2.75h),0.5602146928505304,0.5602146928505304,0.29719425580848274,0.29719425580848274,116411
tratadores_e_intercambiadores_de_butano | FI-1223,0,0min (0.00h),0.5576344269229877,0.5576344269229877,0.30064322618808004,0.30064322618808004,119609
despropanizadora_y_despojo | PI-1166,63,315min (5.25h),0.5572177519630073,0.5572177519630073,0.08566169434960139,0.08566169434960139,118873
isostripper | TI-1497,96,480min (8.00h),0.545314866718735,0.545314866718735,0.23101666818543298,0.23101666818543298,118264
horno | TI-1508,96,480min (8.00h),0.544215997265345,0.544215997265345,0.2742622162125809,0.2742622162125809,117184
horno | TI-1497,96,480min (8.00h),0.5438132558723467,0.5438132558723467,0.22455486655107593,0.22455486655107593,117174
debutanizadora_y_tratamiento_de_alquilato | PI-2110B,84,420min (7.00h),0.5419995806889487,0.5419995806889487,0.2730071649285933,0.2730071649285933,114594
isostripper | TI-1108,96,480min (8.00h),0.5402565784126193,0.5402565784126193,0.15426909097818986,0.15426909097818986,118154
debutanizadora_y_tratamiento_de_alquilato | PIC-2124,84,420min (7.00h),0.539565176530771,0.539565176530771,0.15220793674726413,0.15220793674726413,117550
horno | FI-1499B,96,480min (8.00h),0.5337024560824535,0.5337024560824535,0.23510718421090546,0.23510718421090546,117371
horno | TI-1515B-T-CONTROL-H-01,96,480min (8.00h),0.5333236353914967,0.5333236353914967,0.14244888137689563,0.14244888137689563,115920
isostripper | TI-1098,48,240min (4.00h),0.5332304243720168,0.5332304243720168,0.00251615978080538,0.00251615978080538,119357
horno | TI-1515A-T-CONTROL-H-01,96,480min (8.00h),0.5326545860980655,0.5326545860980655,0.1474514272520966,0.1474514272520966,116821
debutanizadora_y_tratamiento_de_alquilato | TI-2104,96,480min (8.00h),0.5322369961832266,0.5322369961832266,0.2597420102399735,0.2597420102399735,116359
horno | TI-1105A,96,480min (8.00h),0.5304549813676169,0.5304549813676169,0.18368283283781403,0.18368283283781403,95454
regenerador_de_acido | TI-1628,84,420min (7.00h),0.5280778461944403,0.5280778461944403,0.15571757520297197,0.15571757520297197,118110
horno | TI-1511,96,480min (8.00h),0.52805788980427,0.52805788980427,0.20861722678400607,0.20861722678400607,116955
horno | FIC-1500A,96,480min (8.00h),0.5271993888691424,0.5271993888691424,0.20513775288048314,0.20513775288048314,118245
horno | FIC-1499A,96,480min (8.00h),0.5271095307712191,0.5271095307712191,0.20669560239289297,0.20669560239289297,118254
psh | PIC-4080,552,2760min (46.00h),0.526097816837884,0.526097816837884,0.20327511117284783,0.20327511117284783,117602
horno | FI-1500B,96,480min (8.00h),0.5255838318950689,0.5255838318950689,0.2078714041943034,0.2078714041943034,117350
debutanizadora_y_tratamiento_de_alquilato | PDI-2110,84,420min (7.00h),-0.5219401346244267,0.5219401346244267,-0.27641257919796663,0.27641257919796663,113852
horno | PI-1659B,96,480min (8.00h),0.521315376325232,0.521315376325232,0.07117859157551121,0.07117859157551121,94918
psh | TI-4115,180,900min (15.00h),0.5208258670179609,0.5208258670179609,0.2114278387498538,0.2114278387498538,115742
psh | TI-4162,108,540min (9.00h),0.5173605139101606,0.5173605139101606,0.1320365309279814,0.1320365309279814,115461
psh | TI-4070,96,480min (8.00h),0.5172547245875928,0.5172547245875928,0.20808741852026025,0.20808741852026025,115812
horno | PI-1659A,96,480min (8.00h),0.5171787379308352,0.5171787379308352,0.025529214841210443,0.025529214841210443,95823
isostripper | TI-1112,51,255min (4.25h),0.5153303454205036,0.5153303454205036,0.18932414955307544,0.18932414955307544,119430
isostripper | FIC-2319,69,345min (5.75h),0.513846913249351,0.513846913249351,0.034097920616188666,0.034097920616188666,106196
horno | PI-1678,504,2520min (42.00h),0.5130716367245414,0.5130716367245414,-0.10340706975784911,0.10340706975784911,95833
despropanizadora_y_despojo | FI-1165,72,360min (6.00h),0.5105503940088149,0.5105503940088149,0.13332764292701685,0.13332764292701685,106429
horno | FI-1501B,96,480min (8.00h),0.5094106370191108,0.5094106370191108,0.21203017688368248,0.21203017688368248,118265
psh | PI-4041A,96,480min (8.00h),0.5091626001728087,0.5091626001728087,0.115394893485934,0.115394893485934,117584
reactor_de_alquilacion | FI-2513,36,180min (3.00h),0.5089910714532055,0.5089910714532055,0.11434248688425723,0.11434248688425723,119107
tratadores_e_intercambiadores_de_butano | TI-1962,11,55min (0.92h),0.5075020156152419,0.5075020156152419,0.5831024833439559,0.5831024833439559,118253
psh | PI-4041B,96,480min (8.00h),0.5070847653003652,0.5070847653003652,0.12151164811151728,0.12151164811151728,117620
reactor_de_alquilacion | FIC-1900,96,480min (8.00h),0.5064840545548435,0.5064840545548435,0.2152053707290904,0.2152053707290904,117885
tratadores_e_intercambiadores_de_butano | PI-1219,42,210min (3.50h),0.5056200824249958,0.5056200824249958,0.24744301536729704,0.24744301536729704,119409
isostripper | TI-1087,18,90min (1.50h),0.5051389448999906,0.5051389448999906,0.2566944508756451,0.2566944508756451,119382
horno | FIC-1502A,96,480min (8.00h),0.5043209833449767,0.5043209833449767,0.21215905192167048,0.21215905192167048,118205
horno | TI-1514,96,480min (8.00h),0.503505422448218,0.503505422448218,0.2637235731098382,0.2637235731098382,94338
regenerador_de_acido | FIC-2336,84,420min (7.00h),0.5016703313444516,0.5016703313444516,0.294546740099301,0.294546740099301,119227
psh | PIC-4051B,108,540min (9.00h),0.5010413195022165,0.5010413195022165,0.1578074491935942,0.1578074491935942,117625
isostripper | PI-1092B,84,420min (7.00h),0.5004729456781135,0.5004729456781135,-0.06331933509602339,0.06331933509602339,119298
psh | FIC-4061,66,330min (5.50h),0.499273484848212,0.499273484848212,0.35869367000758434,0.35869367000758434,117600
regenerador_de_acido | TI-1179,15,75min (1.25h),0.499129106384146,0.499129106384146,0.0666229517617114,0.0666229517617114,117486
horno | FIC-1900-F-2-ISOBUTANO-RECICLO,108,540min (9.00h),0.495453452606588,0.495453452606588,0.2078727724803475,0.2078727724803475,116792
tratadores_e_intercambiadores_de_butano | TI-1977,0,0min (0.00h),0.49445894111733896,0.49445894111733896,0.2918026441340237,0.2918026441340237,118343
despropanizadora_y_despojo | TI-2320,36,180min (3.00h),0.49285733461109416,0.49285733461109416,0.13709150967032488,0.13709150967032488,115342
reactor_de_alquilacion | FI-1903A,60,300min (5.00h),0.4855093377738045,0.4855093377738045,0.37550338147095585,0.37550338147095585,118457
tratadores_e_intercambiadores_de_butano | TI-1964,60,300min (5.00h),0.48479253961419483,0.48479253961419483,0.17591042810644192,0.17591042810644192,118141
debutanizadora_y_tratamiento_de_alquilato | TI-1228,36,180min (3.00h),0.48440548660023264,0.48440548660023264,0.3320790198806469,0.3320790198806469,116749
despropanizadora_y_despojo | TI-2340,3,15min (0.25h),0.4824858880894881,0.4824858880894881,0.29612402121247894,0.29612402121247894,119587
tratadores_e_intercambiadores_de_butano | TI-1976,24,120min (2.00h),0.47839457726665724,0.47839457726665724,0.3764710754403899,0.3764710754403899,119259
despropanizadora_y_despojo | PIC-2350,42,210min (3.50h),0.47837417527646847,0.47837417527646847,0.315331739291302,0.315331739291302,117151
regenerador_de_acido | TIC-1168,0,0min (0.00h),0.477529408362469,0.477529408362469,0.15546949422538264,0.15546949422538264,119396
reactor_de_alquilacion | TI-1358,66,330min (5.50h),0.4772774543400392,0.4772774543400392,0.2578551634368325,0.2578551634368325,118292
debutanizadora_y_tratamiento_de_alquilato | PI-2110A,60,300min (5.00h),0.47517180846963053,0.47517180846963053,0.0710204952490304,0.0710204952490304,114161
tratadores_e_intercambiadores_de_butano | PIC-1218,0,0min (0.00h),0.47376816615735085,0.47376816615735085,0.4683539676117279,0.4683539676117279,12129
debutanizadora_y_tratamiento_de_alquilato | LIC-2107,0,0min (0.00h),0.4729773926825023,0.4729773926825023,0.07987137505306144,0.07987137505306144,116011
horno | FI-1903A-F-2-OLEFINAS,60,300min (5.00h),0.47286626582754665,0.47286626582754665,0.3659319887127906,0.3659319887127906,117331
tratadores_e_intercambiadores_de_butano | FIC-1982,42,210min (3.50h),0.4723706780778274,0.4723706780778274,0.28147762802853454,0.28147762802853454,111567
