feature,importance_mean,importance_std
tratadores_e_intercambiadores_de_butano | AI-1224A [lag=0x5min],1.4151111960687266,0.007474196935590988
tratadores_e_intercambiadores_de_propano | TI-2405 [lag=42x5min],0.05805166423127747,0.001568088071813205
reactor_de_alquilacion | FI-1059A [lag=48x5min],0.04071793484227261,0.002409923404809898
tratadores_e_intercambiadores_de_propano | TI-2403 [lag=42x5min],0.028394697151350567,0.0015587875190007094
isostripper | TI-1565 [lag=15x5min],0.010833296839144663,0.0014713888808213938
debutanizadora_y_tratamiento_de_alquilato | TI-2105 [lag=15x5min],0.009127705347429294,0.0014962754143818683
debutanizadora_y_tratamiento_de_alquilato | TI-1567 [lag=18x5min],0.0012956891443622748,9.99374506478943e-05
isostripper | TI-1567 [lag=18x5min],0.0012589353499269096,0.0001184930818918803
debutanizadora_y_tratamiento_de_alquilato | TI-2102 [lag=18x5min],0.001146047531437544,8.994130338753684e-05
debutanizadora_y_tratamiento_de_alquilato | FIC-1238 [lag=54x5min],0.0006458504776791496,0.00010633395358269025
tratadores_e_intercambiadores_de_propano | PIC-2417 [lag=57x5min],0.0006320333220531799,0.0006483149111209335
psh | TI-4063 [lag=72x5min],0.0004968696284884666,0.0002986138326815086
horno | FI-1000-ISOBUTANO-REPOSICION [lag=63x5min],-4.318596267979813e-05,0.0001374959667935678
tratadores_e_intercambiadores_de_propano | TI-2404 [lag=54x5min],-0.00018914004825304476,6.746112956941147e-05
tratadores_e_intercambiadores_de_propano | TI-2406 [lag=42x5min],-0.00019091120781530857,0.00017864238381729442
psh | LI-4040 [lag=84x5min],-0.0002058628919363592,2.8064789689779715e-05
tratadores_e_intercambiadores_de_propano | TIC-2400 [lag=63x5min],-0.00024101420219062308,5.9833775288160956e-05
reactor_de_alquilacion | FIC-1903C [lag=54x5min],-0.00043467485203733947,4.7777758655084934e-05
horno | FIC-1903C-F-2-OLEFINAS [lag=54x5min],-0.0006334259002301751,3.510099529063622e-05
tratadores_e_intercambiadores_de_propano | TI-2401 [lag=57x5min],-0.0013824285892598959,0.00012154590127178518
debutanizadora_y_tratamiento_de_alquilato | FIC-2100 [lag=51x5min],-0.0023749127689042804,0.0005130774386716757
isostripper | FIC-2100 [lag=51x5min],-0.003458862394165804,0.0003873512943855191
reactor_de_alquilacion | PI-1053 [lag=48x5min],-0.00573249204044568,0.00031510713670715137
reactor_de_alquilacion | PI-1053.1 [lag=48x5min],-0.006171653183721093,0.0002958052646117584
