feature,best_lag_steps,best_lag_label,pearson,abs_pearson,spearman,abs_spearman,samples,mutual_information,transfer_entropy,importance_mean,pearson_score,spearman_score,mi_score,te_score,rf_score,consensus_score
tratadores_e_intercambiadores_de_butano | AI-1224A,0,0min (0.00h),-0.8053571087171038,0.8053571087171038,-0.8588792128854029,0.8588792128854029,119456,3.9281159640636463,0.05976465068099919,1.4151111960687266,1.0,1.0,1.0,0.19908699421445955,1.0,0.8798630491321691
debutanizadora_y_tratamiento_de_alquilato | TI-2105,15,75min (1.25h),0.6686304589365947,0.6686304589365947,0.8497069712973081,0.8497069712973081,116395,0.9404545610997488,0.30019364608327853,0.009127705347429294,0.8285431028233042,0.9893192064447588,0.23941619079057078,1.0,0.010764471364160479,0.5561080126716942
debutanizadora_y_tratamiento_de_alquilato | TI-2102,18,90min (1.50h),0.6297952238429839,0.6297952238429839,0.760724616659627,0.760724616659627,116278,0.7679256768673941,0.2027912976733447,0.001146047531437544,0.779843241304228,0.885701988034603,0.1954946554258477,0.6755349432582165,0.0051486589872012664,0.46953244585194975
isostripper | TI-1565,15,75min (1.25h),0.6558922939517162,0.6558922939517162,0.5277224967019495,0.5277224967019495,118237,0.4448140716946334,0.08427206408274855,0.010833296839144663,0.8125692875682812,0.6143781772409942,0.11323852853734798,0.280725675517363,0.011964508001915208,0.3630467325137723
debutanizadora_y_tratamiento_de_alquilato | TI-1567,18,90min (1.50h),0.6277476581686888,0.6277476581686888,0.5151064104556143,0.5151064104556143,114628,0.4718459248914151,0.05534436615372912,0.0012956891443622748,0.7772755688143094,0.5996871323772038,0.12012016172844582,0.18436221710827186,0.005253945287534404,0.3372638132939715
isostripper | TI-1567,18,90min (1.50h),0.6274123057652764,0.6274123057652764,0.514345385098478,0.514345385098478,116461,0.460518352744276,0.05463129648131164,0.0012589353499269096,0.7768550327839002,0.5988009417277528,0.11723644539960795,0.18198685146772242,0.005228085695649019,0.3360862376791302
tratadores_e_intercambiadores_de_propano | TI-2403,42,210min (3.50h),0.7030026204294147,0.7030026204294147,0.35263710746444493,0.35263710746444493,119298,0.3114174001501553,0.026400485767091204,0.028394697151350567,0.8716462152617057,0.4104966201511668,0.07927907500673508,0.08794485196987575,0.024320528706339155,0.31461372181151465
debutanizadora_y_tratamiento_de_alquilato | TIC-2103,18,90min (1.50h),0.5866904077217754,0.5866904077217754,0.7482534826272638,0.7482534826272638,100662,,,,0.725789272766428,0.8711797355710061,0.0,0.0,0.004342311727019853,0.31320985645901284
tratadores_e_intercambiadores_de_propano | TI-2401,57,285min (4.75h),0.6759113872754088,0.6759113872754088,0.40532761248688526,0.40532761248688526,119239,0.3320600610769979,0.02824033338020743,-0.0013824285892598959,0.8376734763352931,0.47185309458120656,0.08453417977342016,0.0940737212418317,0.003369649184875612,0.3120566397081819
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,51,255min (4.25h),0.6522604300865424,0.6522604300865424,0.396227385601855,0.396227385601855,117479,0.38866949860972344,0.03581289395668116,-0.0023749127689042804,0.808014885699366,0.46125615993537006,0.09894552558159302,0.11929930704378097,0.0026713475201743165,0.3095439834680763
isostripper | TI-1571,18,90min (1.50h),0.6041819011986784,0.6041819011986784,0.5519947320729555,0.5519947320729555,118191,0.43410258624304454,,,0.7477238202986805,0.6426424496799616,0.11051165245996564,0.0,0.004342311727019853,0.30651523095041244
isostripper | FIC-2100,51,255min (4.25h),0.6492328073379404,0.6492328073379404,0.3923445995200733,0.3923445995200733,119279,0.3831063727247095,0.03328359696711657,-0.003458862394165804,0.8042182096078343,0.4567347748235232,0.0975292929815608,0.11087375566198084,0.0019086917083268372,0.3061788634981781
reactor_de_alquilacion | FIC-1903C,54,270min (4.50h),0.6302674724434747,0.6302674724434747,0.4145342250407792,0.4145342250407792,118703,0.3855187511493128,0.02733714142848552,-0.00043467485203733947,0.7804354468462066,0.48257391207023415,0.0981434241443556,0.09106502347788453,0.004036478970179112,0.30179250661518536
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,54,270min (4.50h),0.6129954079821947,0.6129954079821947,0.41617366030149977,0.41617366030149977,117491,0.4088113004888507,0.03323422026065922,0.0006458504776791496,0.7587760659930884,0.4844829840673856,0.10407312417170453,0.11070927281198854,0.004796725482887552,0.30098666123524104
tratadores_e_intercambiadores_de_propano | TI-2405,42,210min (3.50h),0.6720648116986815,0.6720648116986815,0.2790017212038843,0.2790017212038843,119289,0.32783653194910567,0.027020546899805042,0.05805166423127747,0.8328498233444528,0.3247504749525581,0.08345897497637975,0.09001038913498226,0.04518686582954133,0.29841509690190554
horno | FIC-1903C-F-2-OLEFINAS,54,270min (4.50h),0.6226771792411618,0.6226771792411618,0.4056523084027638,0.4056523084027638,117571,0.3748626503280281,0.029592142959725818,-0.0006334259002301751,0.7709171259978634,0.4722311930004882,0.09543064760751914,0.09857684646501973,0.0038966397761035815,0.2984107768848218
tratadores_e_intercambiadores_de_propano | TI-2404,54,270min (4.50h),0.6629169005320988,0.6629169005320988,0.3281294408053624,0.3281294408053624,118365,0.28232684532024344,0.024905261323588397,-0.00018914004825304476,0.8213782304487868,0.3819581952097561,0.07187334791108753,0.08296398557576158,0.004209234733687718,0.2905098629956638
tratadores_e_intercambiadores_de_propano | TIC-2400,63,315min (5.25h),0.6492218484101011,0.6492218484101011,0.34294238932822485,0.34294238932822485,114125,0.2981827627378957,0.021467093035139845,-0.00024101420219062308,0.8042044669778005,0.39920741870627463,0.07590986759704131,0.0715108174847396,0.004172736612314578,0.28788400984558915
reactor_de_alquilacion | FI-1059A,48,240min (4.00h),0.6088154256337585,0.6088154256337585,0.39666933623355893,0.39666933623355893,118522,0.37073843747980195,,0.04071793484227261,0.7535343168178783,0.46177079786912933,0.09438072624930148,0.0,0.03299103204591276,0.28477310214617746
reactor_de_alquilacion | FI-1903B,54,270min (4.50h),0.5989723644890257,0.5989723644890257,0.4229662659777722,0.4229662659777722,118474,0.3864508880941626,,,0.7411909973164817,0.49239276470646004,0.09838072287824674,0.0,0.004342311727019853,0.27991838654249374
tratadores_e_intercambiadores_de_propano | TI-2406,42,210min (3.50h),0.6346843618705547,0.6346843618705547,0.29567625770624206,0.29567625770624206,119274,0.2938925733237099,0.025409013659012644,-0.00019091120781530857,0.7859742804061264,0.3441674604626411,0.07481769275968046,0.08464207684117264,0.004207988564029656,0.2768305363900471
horno | FI-1238-ALQUILATO,54,270min (4.50h),0.5965006760155406,0.5965006760155406,0.40190772015626774,0.40190772015626774,118202,0.38552605887953995,,,0.7380914696301712,0.4678707350223513,0.09814528450955207,0.0,0.004342311727019853,0.2754181124945609
horno | FI-1059A-F-1-OLEFINAS,48,240min (4.00h),0.6013424281181668,0.6013424281181668,0.3876697459633971,0.3876697459633971,117384,0.3569032696931336,,,0.7441630862005159,0.4512910514697192,0.0908586388381254,0.0,0.004342311727019853,0.2729917349699669
psh | LI-4040,84,420min (7.00h),0.6099823685551623,0.6099823685551623,0.3897704393061346,0.3897704393061346,81403,0.2772407809016233,,-0.0002058628919363592,0.7549976775658188,0.4537372443333886,0.07057856321910033,0.0,0.004197468712805872,0.2719750858634845
horno | FI-1000-ISOBUTANO-REPOSICION,63,315min (5.25h),0.6097439509854,0.6097439509854,0.34986132963157784,0.34986132963157784,118090,0.3902791666739871,,-4.318596267979813e-05,0.7546986990067049,0.4072643121375456,0.09935530677924342,0.0,0.004311926527689183,0.27071336456007905
reactor_de_alquilacion | PI-1053,48,240min (4.00h),0.6419569880672151,0.6419569880672151,0.1640845296521808,0.1640845296521808,119387,0.4577434991284113,0.0316328132692748,-0.00573249204044568,0.7950942429299439,0.1909329356822253,0.11653003712621417,0.10537469290905428,0.0003089892652306319,0.2666029597627284
reactor_de_alquilacion | PI-1053.1,48,240min (4.00h),0.6419569880672151,0.6419569880672151,0.1640845296521808,0.1640845296521808,119387,0.4577434991284113,0.0316328132692748,-0.006171653183721093,0.7950942429299439,0.1909329356822253,0.11653003712621417,0.10537469290905428,0.0,0.26652571244642076
tratadores_e_intercambiadores_de_butano | TI-1962,11,55min (0.92h),0.5075020156152419,0.5075020156152419,0.5831024833439559,0.5831024833439559,118253,,,,0.6264860570086082,0.6788664703953123,0.0,0.0,0.004342311727019853,0.2595370627432038
tratadores_e_intercambiadores_de_propano | PIC-2417,57,285min (4.75h),0.6382469862112292,0.6382469862112292,0.19309762233521596,0.19309762233521596,119343,0.2891938037717514,0.020119268409753192,0.0006320333220531799,0.790441855061388,0.22471779082044951,0.07362150364638921,0.06702096687340206,0.004787003874248401,0.25729232911726463
horno | FI-1903B-F-2-OLEFINAS,54,270min (4.50h),0.5906914734783482,0.5906914734783482,0.41448551726470984,0.41448551726470984,117342,,,,0.730806658339198,0.4825171933613193,0.0,0.0,0.004342311727019853,0.2561648215207523
reactor_de_alquilacion | FIC-1059C,48,240min (4.00h),0.5793258692823448,0.5793258692823448,0.3738984503073721,0.3738984503073721,118200,,,,0.7165540511619323,0.43525480073673506,0.0,0.0,0.004342311727019853,0.24551231083274827
isostripper | FI-2315,96,480min (8.00h),0.5702313846633966,0.5702313846633966,0.36609675541359304,0.36609675541359304,115258,,,,0.7051494558128234,0.4261699667034067,0.0,0.0,0.004342311727019853,0.2412984368904718
debutanizadora_y_tratamiento_de_alquilato | TI-2101,96,480min (8.00h),0.5865823509489511,0.5865823509489511,0.3273152097111417,0.3273152097111417,116314,,,,0.7256537682468839,0.3810100481139669,0.0,0.0,0.004342311727019853,0.23965052721057095
psh | TIC-4017,66,330min (5.50h),0.6061721008959234,0.6061721008959234,0.14249156727778525,0.14249156727778525,117592,0.45915141160048645,,,0.7502195551491974,0.16578859433971657,0.11688845640022631,0.0,0.004342311727019853,0.23688644715005705
psh | TI-4063,72,360min (6.00h),0.6088719608718508,0.6088719608718508,0.13047651542807207,0.13047651542807207,115821,0.46091916312432435,,0.0004968696284884666,0.7536052127004295,0.15179743556683023,0.11733848168970609,0.0,0.0046919040891241345,0.23581159087035414
tratadores_e_intercambiadores_de_butano | PIC-1218,0,0min (0.00h),0.47376816615735085,0.47376816615735085,0.4683539676117279,0.4683539676117279,12129,,,,0.5841833956974387,0.5452453489349856,0.0,0.0,0.004342311727019853,0.22891822919636245
psh | TI-4135,33,165min (2.75h),0.5602146928505304,0.5602146928505304,0.29719425580848274,0.29719425580848274,116411,,,,0.69258840132223,0.3459351226193297,0.0,0.0,0.004342311727019853,0.2261229466552119
tratadores_e_intercambiadores_de_butano | FI-1223,0,0min (0.00h),0.5576344269229877,0.5576344269229877,0.30064322618808004,0.30064322618808004,119609,,,,0.6893527161757175,0.3499513426729352,0.0,0.0,0.004342311727019853,0.2259164583766246
debutanizadora_y_tratamiento_de_alquilato | TI-2106,84,420min (7.00h),0.561969142000031,0.561969142000031,0.263753531627041,0.263753531627041,116356,,,,0.6947885020919817,0.30699442661941856,0.0,0.0,0.004342311727019853,0.22083186744766317
