feature,best_lag_steps,best_lag_label,mutual_information,samples
tratadores_e_intercambiadores_de_butano | AI-1224A,0,0min (0.00h),3.9281159640636463,25000
debutanizadora_y_tratamiento_de_alquilato | TI-2105,15,75min (1.25h),0.9404545610997488,25000
debutanizadora_y_tratamiento_de_alquilato | TI-2102,18,90min (1.50h),0.7679256768673941,25000
debutanizadora_y_tratamiento_de_alquilato | TI-1567,18,90min (1.50h),0.4718459248914151,25000
psh | TI-4063,72,360min (6.00h),0.46091916312432435,25000
isostripper | TI-1567,18,90min (1.50h),0.460518352744276,25000
psh | TIC-4017,66,330min (5.50h),0.45915141160048645,25000
reactor_de_alquilacion | PI-1053,48,240min (4.00h),0.4577434991284113,25000
reactor_de_alquilacion | PI-1053.1,48,240min (4.00h),0.4577434991284113,25000
isostripper | TI-1565,15,75min (1.25h),0.4448140716946334,25000
isostripper | TI-1571,18,90min (1.50h),0.43410258624304454,25000
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,54,270min (4.50h),0.4088113004888507,25000
horno | FI-1000-ISOBUTANO-REPOSICION,63,315min (5.25h),0.3902791666739871,25000
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,51,255min (4.25h),0.38866949860972344,25000
reactor_de_alquilacion | FI-1903B,54,270min (4.50h),0.3864508880941626,25000
horno | FI-1238-ALQUILATO,54,270min (4.50h),0.38552605887953995,25000
reactor_de_alquilacion | FIC-1903C,54,270min (4.50h),0.3855187511493128,25000
isostripper | FIC-2100,51,255min (4.25h),0.3831063727247095,25000
horno | FIC-1903C-F-2-OLEFINAS,54,270min (4.50h),0.3748626503280281,25000
reactor_de_alquilacion | FI-1059A,48,240min (4.00h),0.37073843747980195,25000
horno | FI-1059A-F-1-OLEFINAS,48,240min (4.00h),0.3569032696931336,25000
tratadores_e_intercambiadores_de_propano | TI-2401,57,285min (4.75h),0.3320600610769979,25000
tratadores_e_intercambiadores_de_propano | TI-2405,42,210min (3.50h),0.32783653194910567,25000
tratadores_e_intercambiadores_de_propano | FIC-2415,57,285min (4.75h),0.311518836336389,25000
tratadores_e_intercambiadores_de_propano | TI-2403,42,210min (3.50h),0.3114174001501553,25000
tratadores_e_intercambiadores_de_propano | TIC-2400,63,315min (5.25h),0.2981827627378957,25000
tratadores_e_intercambiadores_de_propano | TI-2406,42,210min (3.50h),0.2938925733237099,25000
tratadores_e_intercambiadores_de_propano | PIC-2417,57,285min (4.75h),0.2891938037717514,25000
tratadores_e_intercambiadores_de_propano | TI-2404,54,270min (4.50h),0.28232684532024344,25000
psh | LI-4040,84,420min (7.00h),0.2772407809016233,25000
