feature,best_lag_steps,best_lag_label,transfer_entropy,samples
debutanizadora_y_tratamiento_de_alquilato | TI-2105,15,75min (1.25h),0.30019364608327853,12000
debutanizadora_y_tratamiento_de_alquilato | TI-2102,18,90min (1.50h),0.2027912976733447,12000
isostripper | TI-1565,15,75min (1.25h),0.08427206408274855,12000
tratadores_e_intercambiadores_de_butano | AI-1224A,0,0min (0.00h),0.05976465068099919,12000
debutanizadora_y_tratamiento_de_alquilato | TI-1567,18,90min (1.50h),0.05534436615372912,12000
isostripper | TI-1567,18,90min (1.50h),0.05463129648131164,12000
debutanizadora_y_tratamiento_de_alquilato | FIC-2100,51,255min (4.25h),0.03581289395668116,12000
isostripper | FIC-2100,51,255min (4.25h),0.03328359696711657,12000
debutanizadora_y_tratamiento_de_alquilato | FIC-1238,54,270min (4.50h),0.03323422026065922,12000
reactor_de_alquilacion | PI-1053,48,240min (4.00h),0.0316328132692748,12000
reactor_de_alquilacion | PI-1053.1,48,240min (4.00h),0.0316328132692748,12000
horno | FIC-1903C-F-2-OLEFINAS,54,270min (4.50h),0.029592142959725818,12000
tratadores_e_intercambiadores_de_propano | TI-2401,57,285min (4.75h),0.02824033338020743,12000
reactor_de_alquilacion | FIC-1903C,54,270min (4.50h),0.02733714142848552,12000
tratadores_e_intercambiadores_de_propano | TI-2405,42,210min (3.50h),0.027020546899805042,12000
tratadores_e_intercambiadores_de_propano | TI-2403,42,210min (3.50h),0.026400485767091204,12000
tratadores_e_intercambiadores_de_propano | TI-2406,42,210min (3.50h),0.025409013659012644,12000
tratadores_e_intercambiadores_de_propano | TI-2404,54,270min (4.50h),0.024905261323588397,12000
tratadores_e_intercambiadores_de_propano | TIC-2400,63,315min (5.25h),0.021467093035139845,12000
tratadores_e_intercambiadores_de_propano | PIC-2417,57,285min (4.75h),0.020119268409753192,12000
